Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,18,Poisson,ZIP--ZINB,-99411.18247168223,-44613.76061290424,109594.84371755598,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,NB,ZIP--ZINB,-46683.648969878064,-44613.76061290424,4139.776713947649,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,P+NB,ZIP--ZINB,-45281.66260592602,-44613.76061290424,1335.8039860435674,nan,2,2.2404542524649648e-291,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,ZIP,ZIP--ZINB,-71471.08686076784,-44613.76061290424,53714.652495727205,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,18,ZINB,ZIP--ZINB,-45878.46924780293,-44613.76061290424,2529.4172697973845,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,18,Z+P+NB,ZIP--ZINB,-44698.12577703547,-44613.76061290424,168.73032826246344,2,0,2.294429685425572e-37,True,chi²(df=2)
D1,Dataset 1,16,Poisson,ZIP--ZINB,-98389.45035422826,-45010.70986909395,106757.48097026862,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,NB,ZIP--ZINB,-46969.28499022002,-45010.70986909395,3917.15024225213,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,P+NB,ZIP--ZINB,-45589.93233481252,-45010.70986909395,1158.4449314371304,nan,2,7.323210424733329e-253,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,ZIP,ZIP--ZINB,-71908.57925699085,-45010.70986909395,53795.7387757938,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,16,ZINB,ZIP--ZINB,-46277.95628337546,-45010.70986909395,2534.492828563016,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,16,Z+P+NB,ZIP--ZINB,-45075.47723203966,-45010.70986909395,129.53472589141165,2,0,7.445462237066072e-29,True,chi²(df=2)
D1,Dataset 1,20,Poisson,ZIP--ZINB,-97698.19016496625,-44493.00691556478,106410.36649880293,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,NB,ZIP--ZINB,-46486.30465777333,-44493.00691556478,3986.5954844171065,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,P+NB,ZIP--ZINB,-45117.081979477625,-44493.00691556478,1248.150127825691,nan,2,2.4252404928391466e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,ZIP,ZIP--ZINB,-70598.09958526841,-44493.00691556478,52210.18533940727,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,20,ZINB,ZIP--ZINB,-45744.05208076742,-44493.00691556478,2502.090330405277,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,20,Z+P+NB,ZIP--ZINB,-44580.23310059888,-44493.00691556478,174.4523700682039,2,0,1.312650662893648e-38,True,chi²(df=2)
D1,Dataset 1,21,Poisson,ZIP--ZINB,-95494.43755644464,-44531.51283064207,101925.84945160514,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,NB,ZIP--ZINB,-46503.204998182686,-44531.51283064207,3943.3843350812385,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,P+NB,ZIP--ZINB,-45135.42720428336,-44531.51283064207,1207.8287472825905,nan,2,1.3827421469232053e-263,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,ZIP,ZIP--ZINB,-68868.59395774934,-44531.51283064207,48674.16225421455,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,21,ZINB,ZIP--ZINB,-45746.26791925701,-44531.51283064207,2429.5101772298804,nan,1,0.0,True,chi-bar² heuristic; k=1
