Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D3,Dataset 3,7,D3,ZIP--ZINB,identity,-29041.73720662699,58103.47441325398,58182.509288779336,20000,10,True,33,0.00028135381509622004,inverse,3.3094463330641717,10,Optimization terminated successfully,74.78535723686218
D3,Dataset 3,2,D3,Poisson,identity,-72082.91698383713,144169.83396767426,144185.64094277934,20000,2,True,20,13951.069391052044,not_computed,nan,0,Optimization terminated successfully,2.0669355392456055
D3,Dataset 3,2,D3,NB,identity,-33189.420276761266,66384.84055352253,66408.55101618014,20000,3,True,21,3597.431361466599,not_computed,nan,0,Optimization terminated successfully,5.942763566970825
D3,Dataset 3,2,D3,ZIP,identity,-41907.115437080116,83822.23087416023,83853.84482437038,20000,4,True,14,0.0005978336968905373,not_computed,nan,0,Optimization terminated successfully,6.179919481277466
D3,Dataset 3,2,D3,ZINB,identity,-29574.944678508575,59159.88935701715,59199.40679477983,20000,5,True,17,0.00023690438338153097,not_computed,nan,0,Optimization terminated successfully,17.144278526306152
D3,Dataset 3,2,D3,P+NB,identity,-32497.398063903347,65006.796127806694,65054.21705312191,20000,6,True,33,1869.0339968188887,not_computed,nan,0,Optimization terminated successfully,24.19428849220276
D3,Dataset 3,2,D3,Z+P+NB,identity,-29053.72315880863,58123.44631761726,58186.674218037544,20000,8,True,14,0.0002733967945225402,not_computed,nan,0,Optimization terminated successfully,35.04063940048218
D3,Dataset 3,2,D3,ZIP--ZINB,identity,-29032.206493549817,58084.41298709963,58163.44786262499,20000,10,True,31,0.00014056672640555545,inverse,3.2371540643879997,10,Optimization terminated successfully,81.70579671859741
D3,Dataset 3,12,D3,Poisson,identity,-74738.58225520454,149481.1645104091,149496.97148551416,20000,2,True,12,13872.767103337972,not_computed,nan,0,Optimization terminated successfully,1.2592196464538574
D3,Dataset 3,12,D3,NB,identity,-33477.00067276262,66960.00134552523,66983.71180818284,20000,3,True,23,3379.118110080858,not_computed,nan,0,Optimization terminated successfully,5.676038026809692
D3,Dataset 3,12,D3,ZIP,identity,-43616.318538001775,87240.63707600355,87272.2510262137,20000,4,True,16,0.00013814978244486298,not_computed,nan,0,Optimization terminated successfully,5.3508124351501465
D3,Dataset 3,12,D3,ZINB,identity,-29944.242347407668,59898.484694815335,59938.00213257802,20000,5,True,19,9.90465807411689e-05,not_computed,nan,0,Optimization terminated successfully,11.073766946792603
D3,Dataset 3,12,D3,P+NB,identity,-32749.79323147911,65511.58646295822,65559.00738827344,20000,6,True,33,1612.6415285688668,not_computed,nan,0,Optimization terminated successfully,23.320610761642456
D3,Dataset 3,12,D3,Z+P+NB,identity,-29382.089236700263,58780.17847340053,58843.40637382081,20000,8,True,21,6.6092669221543e-05,not_computed,nan,0,Optimization terminated successfully,41.73233771324158
D3,Dataset 3,12,D3,ZIP--ZINB,identity,-29367.70188143419,58755.40376286838,58834.43863839374,20000,10,True,16,0.00011313809515714479,inverse,3.008967650729593,10,Optimization terminated successfully,84.0659077167511
D3,Dataset 3,0,D3,Poisson,identity,-75384.60196716501,150773.20393433003,150789.0109094351,20000,2,True,15,12899.760353912747,not_computed,nan,0,Optimization terminated successfully,1.6724603176116943
D3,Dataset 3,0,D3,NB,identity,-33835.28710748052,67676.57421496105,67700.28467761865,20000,3,True,17,2938.078505670343,not_computed,nan,0,Optimization terminated successfully,6.04818320274353
D3,Dataset 3,0,D3,ZIP,identity,-43952.12045500686,87912.24091001372,87943.85486022386,20000,4,True,15,0.000200988383279338,not_computed,nan,0,Optimization terminated successfully,6.962898254394531
D3,Dataset 3,0,D3,ZINB,identity,-30490.673054779334,60991.34610955867,61030.86354732135,20000,5,True,15,0.0003059077637332236,not_computed,nan,0,Optimization terminated successfully,13.853074073791504
D3,Dataset 3,0,D3,P+NB,identity,-33073.66681956424,66159.33363912848,66206.7545644437,20000,6,True,28,1479.2955852428156,not_computed,nan,0,Optimization terminated successfully,29.173152923583984
D3,Dataset 3,0,D3,Z+P+NB,identity,-29882.779750085,59781.55950017,59844.787400590285,20000,8,True,27,0.0002798320430462409,not_computed,nan,0,Optimization terminated successfully,43.60149908065796
D3,Dataset 3,0,D3,ZIP--ZINB,identity,-29858.070960647274,59736.14192129455,59815.176796819906,20000,10,True,49,0.00022912533283679648,inverse,2.451226782301577,10,Optimization terminated successfully,75.60269165039062
D3,Dataset 3,10,D3,Poisson,identity,-72526.29307037398,145056.58614074797,145072.39311585305,20000,2,True,12,8174.728429302152,not_computed,nan,0,Optimization terminated successfully,1.8623747825622559
D3,Dataset 3,10,D3,NB,identity,-33310.314600268706,66626.62920053741,66650.33966319502,20000,3,True,23,0.0010835705161396161,not_computed,nan,0,Optimization terminated successfully,6.326696157455444
D3,Dataset 3,10,D3,ZIP,identity,-42137.79958402641,84283.59916805282,84315.21311826297,20000,4,True,13,0.00014732688828122953,not_computed,nan,0,Optimization terminated successfully,8.024217128753662
D3,Dataset 3,10,D3,ZINB,identity,-29755.29648783344,59520.59297566688,59560.11041342956,20000,5,True,14,0.0001920452447865817,not_computed,nan,0,Optimization terminated successfully,10.713441610336304
D3,Dataset 3,10,D3,P+NB,identity,-32624.940513218044,65261.88102643609,65309.3019517513,20000,6,True,38,1414.9772237217483,not_computed,nan,0,Optimization terminated successfully,31.3992862701416
D3,Dataset 3,10,D3,Z+P+NB,identity,-29250.231284602472,58516.462569204945,58579.69046962523,20000,8,True,27,0.00016123086041663903,not_computed,nan,0,Optimization terminated successfully,38.325095415115356
D3,Dataset 3,10,D3,ZIP--ZINB,identity,-29216.407713292458,58452.815426584915,58531.85030211027,20000,10,True,35,0.0003854218558118072,inverse,2.1367385141102755,10,Optimization terminated successfully,82.92236256599426
D3,Dataset 3,9,D3,Poisson,identity,-74932.59879570427,149869.19759140853,149885.0045665136,20000,2,True,13,13753.484811485045,not_computed,nan,0,Optimization terminated successfully,1.1877071857452393
