Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D3,Dataset 3,20,beta_nb[0],$\beta_{20}$,8.0,7.836774920867593
D3,Dataset 3,20,beta_nb[1],$\beta_{21}$,2.5,2.8677374548984527
D3,Dataset 3,20,gamma_nb[0],$\gamma_{20}$,-2.5,-2.81581047893636
D3,Dataset 3,20,gamma_nb[1],$\gamma_{21}$,2.5,2.62973860218613
D3,Dataset 3,19,beta_z[0],$\beta_{10}$,6.6,6.444850387156596
D3,Dataset 3,19,beta_z[1],$\beta_{11}$,-2.1,-1.9872006713745494
D3,Dataset 3,19,gamma_z[0],$\gamma_{10}$,-2.5,-2.59254540376067
D3,Dataset 3,19,gamma_z[1],$\gamma_{11}$,2.0,2.095896818171884
D3,Dataset 3,19,beta_nb[0],$\beta_{20}$,8.0,7.964976308709266
D3,Dataset 3,19,beta_nb[1],$\beta_{21}$,2.5,1.6874041119382956
D3,Dataset 3,19,gamma_nb[0],$\gamma_{20}$,-2.5,-2.459341978345128
D3,Dataset 3,19,gamma_nb[1],$\gamma_{21}$,2.5,2.3523584651915828
D3,Dataset 3,26,beta_z[0],$\beta_{10}$,6.6,6.363391036696036
D3,Dataset 3,26,beta_z[1],$\beta_{11}$,-2.1,-1.9774737223666738
D3,Dataset 3,26,gamma_z[0],$\gamma_{10}$,-2.5,-2.4904386002289947
D3,Dataset 3,26,gamma_z[1],$\gamma_{11}$,2.0,2.0142059498513905
D3,Dataset 3,26,beta_nb[0],$\beta_{20}$,8.0,8.177662154477092
D3,Dataset 3,26,beta_nb[1],$\beta_{21}$,2.5,2.9711978749706196
D3,Dataset 3,26,gamma_nb[0],$\gamma_{20}$,-2.5,-2.386152747939402
D3,Dataset 3,26,gamma_nb[1],$\gamma_{21}$,2.5,2.442837586824533
D3,Dataset 3,24,beta_z[0],$\beta_{10}$,6.6,6.685686780491081
D3,Dataset 3,24,beta_z[1],$\beta_{11}$,-2.1,-2.16320041287806
