Scenario,Dataset,Rep,Parameter,Scale,true,estimate,se,lower95,upper95,covered,CovarianceStatus
D3,Dataset 3,67,logit_rho,optimizer,-0.4054651081081643,-0.5685536057062455,0.11967872146511611,-0.803123899777873,-0.3339833116346179,True,inverse
D3,Dataset 3,67,beta_z[0],optimizer,6.6,6.534160589575555,0.12114059873476478,6.296725016055416,6.771596163095693,True,inverse
D3,Dataset 3,67,beta_z[1],optimizer,-2.1,-2.059608122112882,0.07995219246657298,-2.216314419347365,-1.9029018248783989,True,inverse
D3,Dataset 3,67,gamma_z[0],optimizer,-2.5,-2.9415017286485052,0.46739527092524846,-3.857596459661992,-2.0254069976350184,True,inverse
D3,Dataset 3,67,gamma_z[1],optimizer,2.0,2.105592579728332,0.18931199885152944,1.7345410619793344,2.4766440974773296,True,inverse
D3,Dataset 3,67,beta_nb[0],optimizer,8.0,7.924111596198233,0.3046710812363164,7.326956276975053,8.521266915421414,True,inverse
D3,Dataset 3,67,beta_nb[1],optimizer,2.5,2.6358163326246116,0.45600350937771916,1.742049454244282,3.529583211004941,True,inverse
D3,Dataset 3,67,gamma_nb[0],optimizer,-2.5,-2.2990538531001175,0.15681970767774306,-2.606420480148494,-1.991687226051741,True,inverse
D3,Dataset 3,67,gamma_nb[1],optimizer,2.5,2.5050389940542166,0.07285958181328675,2.3622342137001744,2.647843774408259,True,inverse
D3,Dataset 3,67,log_alpha,optimizer,0.0,-0.07280191763541422,0.05196535212317904,-0.17465400779684515,0.0290501725260167,True,inverse
D3,Dataset 3,67,rho,natural_delta,0.4,0.3615706397265723,0.027626314392250006,0.3074230635177623,0.4157182159353823,True,inverse
D3,Dataset 3,67,alpha,natural_delta,1.0,0.9297849857947281,0.04831660418566807,0.8350844415908187,1.0244855299986375,True,inverse
D3,Dataset 3,72,logit_rho,optimizer,-0.4054651081081643,-0.403445416164012,0.12980929770482746,-0.6578716396654738,-0.1490191926625502,True,inverse
D3,Dataset 3,72,beta_z[0],optimizer,6.6,6.535883826589257,0.11020173055157345,6.319888434708172,6.751879218470341,True,inverse
D3,Dataset 3,72,beta_z[1],optimizer,-2.1,-2.0842430076994,0.06817187210006634,-2.2178598770155302,-1.9506261383832701,True,inverse
D3,Dataset 3,72,gamma_z[0],optimizer,-2.5,-2.5006104273996796,0.39171152300945544,-3.2683650124982124,-1.7328558423011469,True,inverse
D3,Dataset 3,72,gamma_z[1],optimizer,2.0,1.9586959610434027,0.15573903135504372,1.653447459587517,2.263944462499288,True,inverse
D3,Dataset 3,72,beta_nb[0],optimizer,8.0,7.9219981964596755,0.31482744390852474,7.3049364063989675,8.539059986520384,True,inverse
D3,Dataset 3,72,beta_nb[1],optimizer,2.5,3.2940535628759484,0.45660107213999196,2.399115461481564,4.188991664270333,True,inverse
D3,Dataset 3,72,gamma_nb[0],optimizer,-2.5,-2.510385111832736,0.226171883465829,-2.9536820034257607,-2.067088220239711,True,inverse
D3,Dataset 3,72,gamma_nb[1],optimizer,2.5,2.555219396006014,0.09991495833470372,2.3593860776699946,2.751052714342033,True,inverse
D3,Dataset 3,72,log_alpha,optimizer,0.0,-0.024997376281954562,0.05090919572130181,-0.1247793998957061,0.07478464733179699,True,inverse
D3,Dataset 3,72,rho,natural_delta,0.4,0.4004848238212672,0.031166787864895906,0.33939791960607124,0.4615717280364632,True,inverse
D3,Dataset 3,72,alpha,natural_delta,1.0,0.9753124709699057,0.049652373474033416,0.8779938189608002,1.0726311229790113,True,inverse
D3,Dataset 3,66,logit_rho,optimizer,-0.4054651081081643,-0.44611292247489104,0.11380609047330482,-0.6691728598025685,-0.22305298514721358,True,inverse
D3,Dataset 3,66,beta_z[0],optimizer,6.6,6.828986128320419,0.11087879227137729,6.611663695468519,7.046308561172318,False,inverse
D3,Dataset 3,66,beta_z[1],optimizer,-2.1,-2.2197132573967115,0.060711416638748905,-2.338707634008659,-2.100718880784764,False,inverse
D3,Dataset 3,66,gamma_z[0],optimizer,-2.5,-2.185489759464697,0.28275122077121556,-2.7396821521762793,-1.6312973667531145,True,inverse
