Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,23,gamma_nb[1],$\gamma_{21}$,-3.0,-3.127527769547387
D1,Dataset 1,26,beta_z[0],$\beta_{10}$,2.0,1.9892317208247616
D1,Dataset 1,26,beta_z[1],$\beta_{11}$,1.0,1.0350898007697118
D1,Dataset 1,26,gamma_z[0],$\gamma_{10}$,-2.0,-1.9415362790274493
D1,Dataset 1,26,gamma_z[1],$\gamma_{11}$,1.0,0.9829134578324928
D1,Dataset 1,26,beta_nb[0],$\beta_{20}$,4.0,3.809277302551236
D1,Dataset 1,26,beta_nb[1],$\beta_{21}$,3.5,3.754912570324396
D1,Dataset 1,26,gamma_nb[0],$\gamma_{20}$,1.0,1.1225392010310598
D1,Dataset 1,26,gamma_nb[1],$\gamma_{21}$,-3.0,-3.351032868070911
D1,Dataset 1,28,beta_z[0],$\beta_{10}$,2.0,1.9644943044683565
D1,Dataset 1,28,beta_z[1],$\beta_{11}$,1.0,1.0209981795391752
D1,Dataset 1,28,gamma_z[0],$\gamma_{10}$,-2.0,-2.0354180344810944
D1,Dataset 1,28,gamma_z[1],$\gamma_{11}$,1.0,1.0365634720263726
D1,Dataset 1,28,beta_nb[0],$\beta_{20}$,4.0,4.154696790483491
D1,Dataset 1,28,beta_nb[1],$\beta_{21}$,3.5,3.1478897503074865
D1,Dataset 1,28,gamma_nb[0],$\gamma_{20}$,1.0,0.883417265773498
D1,Dataset 1,28,gamma_nb[1],$\gamma_{21}$,-3.0,-2.7898653934459388
D1,Dataset 1,27,beta_z[0],$\beta_{10}$,2.0,1.959871793939083
D1,Dataset 1,27,beta_z[1],$\beta_{11}$,1.0,1.0162146086169888
D1,Dataset 1,27,gamma_z[0],$\gamma_{10}$,-2.0,-2.074766137016197
D1,Dataset 1,27,gamma_z[1],$\gamma_{11}$,1.0,1.016812928915767
D1,Dataset 1,27,beta_nb[0],$\beta_{20}$,4.0,4.162392719885005
D1,Dataset 1,27,beta_nb[1],$\beta_{21}$,3.5,3.4516851464908167
D1,Dataset 1,27,gamma_nb[0],$\gamma_{20}$,1.0,0.7437764238838143
D1,Dataset 1,27,gamma_nb[1],$\gamma_{21}$,-3.0,-2.1479116287897857
D1,Dataset 1,25,beta_z[0],$\beta_{10}$,2.0,1.9811899358466905
D1,Dataset 1,25,beta_z[1],$\beta_{11}$,1.0,1.0333040528055415
D1,Dataset 1,25,gamma_z[0],$\gamma_{10}$,-2.0,-2.351524773410985
D1,Dataset 1,25,gamma_z[1],$\gamma_{11}$,1.0,1.158519875906109
D1,Dataset 1,25,beta_nb[0],$\beta_{20}$,4.0,3.9692022955046418
D1,Dataset 1,25,beta_nb[1],$\beta_{21}$,3.5,3.3368888338134526
D1,Dataset 1,25,gamma_nb[0],$\gamma_{20}$,1.0,0.8522844845952032
D1,Dataset 1,25,gamma_nb[1],$\gamma_{21}$,-3.0,-2.363433622933361
D1,Dataset 1,24,beta_z[0],$\beta_{10}$,2.0,1.9848191387552871
D1,Dataset 1,24,beta_z[1],$\beta_{11}$,1.0,1.0063529207867965
D1,Dataset 1,24,gamma_z[0],$\gamma_{10}$,-2.0,-2.018152910197365
D1,Dataset 1,24,gamma_z[1],$\gamma_{11}$,1.0,1.0101627923713223
D1,Dataset 1,24,beta_nb[0],$\beta_{20}$,4.0,3.4946041996561465
D1,Dataset 1,24,beta_nb[1],$\beta_{21}$,3.5,3.571381704769063
D1,Dataset 1,24,gamma_nb[0],$\gamma_{20}$,1.0,1.003443032468076
D1,Dataset 1,24,gamma_nb[1],$\gamma_{21}$,-3.0,-3.5378334249205223
D1,Dataset 1,29,beta_z[0],$\beta_{10}$,2.0,1.9351333061304952
D1,Dataset 1,29,beta_z[1],$\beta_{11}$,1.0,1.0605908934323325
D1,Dataset 1,29,gamma_z[0],$\gamma_{10}$,-2.0,-2.0013484342099326
D1,Dataset 1,29,gamma_z[1],$\gamma_{11}$,1.0,1.0270423535429798
D1,Dataset 1,29,beta_nb[0],$\beta_{20}$,4.0,4.749983333011822
D1,Dataset 1,29,beta_nb[1],$\beta_{21}$,3.5,3.0343759629957217
D1,Dataset 1,29,gamma_nb[0],$\gamma_{20}$,1.0,1.1891371801225858
D1,Dataset 1,29,gamma_nb[1],$\gamma_{21}$,-3.0,-3.3075295798755264
D1,Dataset 1,30,beta_z[0],$\beta_{10}$,2.0,1.9934754742801
D1,Dataset 1,30,beta_z[1],$\beta_{11}$,1.0,1.0290319961568486
D1,Dataset 1,30,gamma_z[0],$\gamma_{10}$,-2.0,-2.005536579047192
D1,Dataset 1,30,gamma_z[1],$\gamma_{11}$,1.0,0.9814304454549244
D1,Dataset 1,30,beta_nb[0],$\beta_{20}$,4.0,3.552300014102251
D1,Dataset 1,30,beta_nb[1],$\beta_{21}$,3.5,3.594615111806487
