Dataset,Link,Count,Observed,Expected,RootogramDiff
C2,log,>15,0.0,7.580197312062609e-05,-0.008706432858560736
C2,identity,0,4878.0,4878.482849321586,-0.0034566068409702666
C2,identity,1,398.0,398.07886690136104,-0.001976522366046396
C2,identity,2,163.0,161.79837178002958,0.04714644407931878
C2,identity,3,79.0,80.25630253903574,-0.07039378278802744
C2,identity,4,42.0,42.52242996555751,-0.04018177970499526
C2,identity,5,23.0,21.6921928523878,0.13834369698533244
C2,identity,6,9.0,10.214726601298782,-0.1960485918237822
C2,identity,7,6.0,4.377080467267431,0.3573424087582935
C2,identity,8,1.0,1.7021372387558162,-0.30465981725345403
C2,identity,9,1.0,0.602001267766132,0.22411259337057665
C2,identity,10,0.0,0.19444813131112784,-0.44096273233815103
C2,identity,11,0.0,0.05764102054050864,-0.2400854442495601
C2,identity,12,0.0,0.015759694714380133,-0.12553762270482954
C2,identity,13,0.0,0.00399344885041416,-0.06319374059520579
C2,identity,14,0.0,0.0009421153125156591,-0.03069389699135089
C2,identity,15,0.0,0.00020779800872053873,-0.014415200613260251
C2,identity,>15,0.0,5.1930755828877295e-05,-0.007206299732100885
