Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,19,Z+P+NB,ZIP--ZINB,-44382.13364152141,-44338.89328110626,86.48072083029547,2,0,1.6632214457342316e-19,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,18,Poisson,ZIP--ZINB,-99411.18247168223,-44613.76061290379,109594.84371755688,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,NB,ZIP--ZINB,-46683.648969878064,-44613.76061290379,4139.776713948551,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,P+NB,ZIP--ZINB,-45281.66260592602,-44613.76061290379,1335.8039860444696,nan,2,2.2404542514542583e-291,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,ZIP,ZIP--ZINB,-71471.08686076786,-44613.76061290379,53714.652495728136,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,18,ZINB,ZIP--ZINB,-45878.46924780294,-44613.76061290379,2529.4172697983013,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,18,Z+P+NB,ZIP--ZINB,-44698.12577703547,-44613.76061290379,168.73032826336566,2,0,2.294429684390556e-37,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,17,Poisson,ZIP--ZINB,-97116.57586043175,-44471.11378947666,105290.92414191019,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,NB,ZIP--ZINB,-46508.35784353214,-44471.11378947666,4074.4881081109634,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,P+NB,ZIP--ZINB,-45057.392995377006,-44471.11378947666,1172.5584118006955,nan,2,6.307845741166439e-256,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,ZIP,ZIP--ZINB,-70488.6480150766,-44471.11378947666,52035.068451199884,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,17,ZINB,ZIP--ZINB,-45790.28366442483,-44471.11378947666,2638.339749896346,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,17,Z+P+NB,ZIP--ZINB,-44533.759895540614,-44471.11378947666,125.29221212791163,2,0,6.210718190344577e-28,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,21,Poisson,ZIP--ZINB,-95494.43755644464,-44531.51283064205,101925.84945160517,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,NB,ZIP--ZINB,-46503.20499818268,-44531.51283064205,3943.384335081253,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,P+NB,ZIP--ZINB,-45135.42720428336,-44531.51283064205,1207.8287472826196,nan,2,1.3827421469032006e-263,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,ZIP,ZIP--ZINB,-68868.59395774934,-44531.51283064205,48674.16225421458,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,21,ZINB,ZIP--ZINB,-45746.26791925701,-44531.51283064205,2429.5101772299095,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,21,Z+P+NB,ZIP--ZINB,-44607.52353509668,-44531.51283064205,152.0214089092624,2,0,9.7492338961266e-34,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,15,Poisson,ZIP--ZINB,-97430.03174522571,-44482.36022876971,105895.34303291202,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,NB,ZIP--ZINB,-46424.39590131583,-44482.36022876971,3884.0713450922485,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,P+NB,ZIP--ZINB,-45061.00602121889,-44482.36022876971,1157.2915848983685,nan,2,1.303638556561732e-252,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,ZIP,ZIP--ZINB,-70402.92484632734,-44482.36022876971,51841.129235115266,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,15,ZINB,ZIP--ZINB,-45720.213481285595,-44482.36022876971,2475.706505031776,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,15,Z+P+NB,ZIP--ZINB,-44557.99050681073,-44482.36022876971,151.26055608205206,2,0,1.4262234799597756e-33,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,26,Poisson,ZIP--ZINB,-99131.4815523611,-44456.585259589316,109349.79258554358,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,NB,ZIP--ZINB,-46526.55630704111,-44456.585259589316,4139.942094903585,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,P+NB,ZIP--ZINB,-45121.294488295294,-44456.585259589316,1329.4184574119572,nan,2,5.457320857456213e-290,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,ZIP,ZIP--ZINB,-71006.30902674297,-44456.585259589316,53099.4475343073,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,26,ZINB,ZIP--ZINB,-45711.12083703432,-44456.585259589316,2509.0711548900144,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,26,Z+P+NB,ZIP--ZINB,-44518.05540768658,-44456.585259589316,122.94029619453067,2,0,2.0130468368472604e-27,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,20,Poisson,ZIP--ZINB,-97698.19016496625,-44493.006915564765,106410.36649880296,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,NB,ZIP--ZINB,-46486.30465777336,-44493.006915564765,3986.595484417194,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,P+NB,ZIP--ZINB,-45117.08197947778,-44493.006915564765,1248.1501278260257,nan,2,2.425240492433443e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,ZIP,ZIP--ZINB,-70598.09958526841,-44493.006915564765,52210.1853394073,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,20,ZINB,ZIP--ZINB,-45744.05208076742,-44493.006915564765,2502.0903304053063,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,20,Z+P+NB,ZIP--ZINB,-44580.2331005989,-44493.006915564765,174.45237006827665,2,0,1.3126506628458873e-38,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,27,Poisson,ZIP--ZINB,-98975.7913602833,-44581.86989812872,108787.84292430915,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,NB,ZIP--ZINB,-46510.279936318155,-44581.86989812872,3856.8200763788627,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,P+NB,ZIP--ZINB,-45161.6487031687,-44581.86989812872,1159.5576100799517,nan,2,4.19833515464772e-253,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,ZIP,ZIP--ZINB,-71528.30252029735,-44581.86989812872,53892.865244337256,nan,1,0.0,True,chi-bar² heuristic; k=1
