Scenario,Dataset,Rep,elapsed_sec
D4,Dataset 4,68,83.85608673095703
D4,Dataset 4,70,78.66483092308044
D4,Dataset 4,71,78.54744052886963
D4,Dataset 4,72,78.69482803344727
D4,Dataset 4,69,92.15638399124146
D4,Dataset 4,73,85.73721194267273
D4,Dataset 4,74,80.19827675819397
D4,Dataset 4,75,80.72822976112366
D4,Dataset 4,76,88.8590726852417
D4,Dataset 4,79,75.03164887428284
D4,Dataset 4,77,92.54064583778381
D4,Dataset 4,80,79.89928317070007
D4,Dataset 4,78,89.78313946723938
D4,Dataset 4,82,81.90782332420349
D4,Dataset 4,81,85.73223805427551
D4,Dataset 4,83,82.09745597839355
D4,Dataset 4,84,74.78753280639648
D4,Dataset 4,85,86.01521801948547
D4,Dataset 4,86,87.3620913028717
D4,Dataset 4,87,87.42166113853455
D4,Dataset 4,89,78.66816020011902
D4,Dataset 4,88,86.02402901649475
D4,Dataset 4,90,81.68576002120972
D4,Dataset 4,91,72.04687738418579
D4,Dataset 4,92,86.19963121414185
D4,Dataset 4,93,89.21809363365173
D4,Dataset 4,94,83.1882894039154
D4,Dataset 4,96,80.16348171234131
D4,Dataset 4,98,76.83802914619446
D4,Dataset 4,95,93.56144332885742
D4,Dataset 4,99,77.08382081985474
D4,Dataset 4,97,95.71227264404297
