Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D1,Dataset 1,12,D1,Z+P+NB,identity,-44791.077178228006,89598.15435645601,89661.3822568763,20000,8,True,24,3.120020741825477e-05,not_computed,nan,0,Optimization terminated successfully,26.31485915184021
D1,Dataset 1,12,D1,ZIP--ZINB,identity,-44710.41542004293,89440.83084008587,89519.86571561123,20000,10,True,50,0.0006507926111772311,inverse,3.4401742443652457,10,Optimization terminated successfully,51.2723069190979
D1,Dataset 1,1,D1,Poisson,identity,-99703.59722841918,199411.19445683836,199427.00143194344,20000,2,True,8,0.00019125808259135013,not_computed,nan,0,Optimization terminated successfully,0.9124476909637451
D1,Dataset 1,1,D1,NB,identity,-46682.02006983638,93370.04013967275,93393.75060233036,20000,3,True,14,0.00016170799118953028,not_computed,nan,0,Optimization terminated successfully,2.1878857612609863
D1,Dataset 1,1,D1,ZIP,identity,-72042.57018444872,144093.14036889744,144124.7543191076,20000,4,True,12,5.425095529243418e-05,not_computed,nan,0,Optimization terminated successfully,7.045631408691406
D1,Dataset 1,1,D1,ZINB,identity,-45966.77548658132,91943.55097316264,91983.06841092532,20000,5,True,15,0.00013010875410751632,not_computed,nan,0,Optimization terminated successfully,11.510507345199585
D1,Dataset 1,1,D1,P+NB,identity,-45386.44655193176,90784.89310386352,90832.31402917874,20000,6,True,29,0.0006315837870971563,not_computed,nan,0,Optimization terminated successfully,11.216050386428833
D1,Dataset 1,1,D1,Z+P+NB,identity,-44847.97083937653,89711.94167875306,89775.16957917335,20000,8,True,24,0.0007058315469368748,not_computed,nan,0,Optimization terminated successfully,27.226092100143433
D1,Dataset 1,1,D1,ZIP--ZINB,identity,-44775.71537250234,89571.43074500468,89650.46562053004,20000,10,True,56,0.00035911419039382636,inverse,2.9749902806571207,10,Optimization terminated successfully,51.57785987854004
D1,Dataset 1,13,D1,Poisson,identity,-100779.04027354409,201562.08054708818,201577.88752219325,20000,2,True,6,3.4952866774240476e-05,not_computed,nan,0,Optimization terminated successfully,0.6198623180389404
D1,Dataset 1,13,D1,NB,identity,-46582.689927104875,93171.37985420975,93195.09031686735,20000,3,True,14,0.00029128486391449826,not_computed,nan,0,Optimization terminated successfully,3.3800225257873535
D1,Dataset 1,13,D1,ZIP,identity,-72690.83504661807,145389.67009323614,145421.2840434463,20000,4,True,12,0.00021538992744957186,not_computed,nan,0,Optimization terminated successfully,4.505117893218994
D1,Dataset 1,13,D1,ZINB,identity,-45880.06356428565,91770.1271285713,91809.64456633398,20000,5,True,22,0.0002284152994362909,not_computed,nan,0,Optimization terminated successfully,15.184659957885742
D1,Dataset 1,13,D1,P+NB,identity,-45208.7941782585,90429.588356517,90477.00928183222,20000,6,True,19,0.0002570679234814577,not_computed,nan,0,Optimization terminated successfully,12.297807216644287
D1,Dataset 1,13,D1,Z+P+NB,identity,-44694.83510139299,89405.67020278599,89468.89810320627,20000,8,True,19,0.00012211390305829245,not_computed,nan,0,Optimization terminated successfully,28.189140558242798
D1,Dataset 1,13,D1,ZIP--ZINB,identity,-44635.97305944033,89291.94611888066,89370.98099440603,20000,10,True,14,0.00014420368678898823,inverse,3.701529899471655,10,Optimization terminated successfully,48.392905712127686
D1,Dataset 1,5,D1,Poisson,identity,-100174.49335661138,200352.98671322275,200368.79368832783,20000,2,True,8,6.809228243870313e-05,not_computed,nan,0,Optimization terminated successfully,1.0507631301879883
D1,Dataset 1,5,D1,NB,identity,-46317.829121579314,92641.65824315863,92665.36870581623,20000,3,True,13,2.9900854343622996e-05,not_computed,nan,0,Optimization terminated successfully,2.2991693019866943
D1,Dataset 1,5,D1,ZIP,identity,-71710.74867484166,143429.4973496833,143461.11129989347,20000,4,True,12,8.572023973474341e-05,not_computed,nan,0,Optimization terminated successfully,6.677427291870117
D1,Dataset 1,5,D1,ZINB,identity,-45549.697160199226,91109.39432039845,91148.91175816114,20000,5,True,27,0.00015082216548589766,not_computed,nan,0,Optimization terminated successfully,12.860572814941406
D1,Dataset 1,5,D1,P+NB,identity,-44929.794427430395,89871.58885486079,89919.00978017601,20000,6,True,15,0.00022980403238376246,not_computed,nan,0,Optimization terminated successfully,12.10300612449646
D1,Dataset 1,5,D1,Z+P+NB,identity,-44350.74864599273,88717.49729198546,88780.72519240575,20000,8,True,20,0.00027735530101202777,not_computed,nan,0,Optimization terminated successfully,27.047677516937256
D1,Dataset 1,5,D1,ZIP--ZINB,identity,-44289.75527645254,88599.51055290508,88678.54542843044,20000,10,True,45,0.00018395959168771014,inverse,2.8447215894252866,10,Optimization terminated successfully,52.63907861709595
D1,Dataset 1,16,D1,Poisson,identity,-98389.45035422826,196782.90070845652,196798.7076835616,20000,2,True,5,1.6603738336451457e-05,not_computed,nan,0,Optimization terminated successfully,0.377793550491333
D1,Dataset 1,16,D1,NB,identity,-46969.28499022001,93944.56998044002,93968.28044309762,20000,3,True,9,2.7824004624088516e-05,not_computed,nan,0,Optimization terminated successfully,2.0517349243164062
D1,Dataset 1,16,D1,ZIP,identity,-71908.57925699085,143825.1585139817,143856.77246419186,20000,4,True,12,3.466671110907704e-05,not_computed,nan,0,Optimization terminated successfully,4.409407138824463
D1,Dataset 1,16,D1,ZINB,identity,-46277.95628337546,92565.91256675092,92605.4300045136,20000,5,True,36,0.00015772802719821177,not_computed,nan,0,Optimization terminated successfully,11.103541851043701
D1,Dataset 1,16,D1,P+NB,identity,-45589.93233481276,91191.86466962552,91239.28559494074,20000,6,True,18,0.0005807053334159207,not_computed,nan,0,Optimization terminated successfully,10.964158773422241
D1,Dataset 1,16,D1,Z+P+NB,identity,-45075.47723203966,90166.95446407932,90230.1823644996,20000,8,True,20,0.0002441312570341525,not_computed,nan,0,Optimization terminated successfully,28.27943229675293
D1,Dataset 1,16,D1,ZIP--ZINB,identity,-45010.70986909396,90041.41973818792,90120.45461371329,20000,10,True,33,0.0003954883564217804,inverse,3.060539597425566,10,Optimization terminated successfully,44.84699869155884
D1,Dataset 1,19,D1,Poisson,identity,-98436.0094584139,196876.0189168278,196891.82589193288,20000,2,True,7,2.2427922602652473e-05,not_computed,nan,0,Optimization terminated successfully,0.7538821697235107
D1,Dataset 1,19,D1,NB,identity,-46340.51045396709,92687.02090793417,92710.73137059178,20000,3,True,13,9.516933634107216e-05,not_computed,nan,0,Optimization terminated successfully,2.409578561782837
D1,Dataset 1,19,D1,ZIP,identity,-70557.42005119038,141122.84010238075,141154.4540525909,20000,4,True,12,0.00033298352940702713,not_computed,nan,0,Optimization terminated successfully,5.126867055892944
D1,Dataset 1,19,D1,ZINB,identity,-45561.630638011,91133.261276022,91172.77871378469,20000,5,True,16,0.00026911539801133255,not_computed,nan,0,Optimization terminated successfully,9.928665161132812
D1,Dataset 1,19,D1,P+NB,identity,-44962.71728233735,89937.4345646747,89984.85548998992,20000,6,True,14,0.000145308073800976,not_computed,nan,0,Optimization terminated successfully,11.1222083568573
D1,Dataset 1,19,D1,Z+P+NB,identity,-44382.13364152141,88780.26728304282,88843.4951834631,20000,8,True,22,0.0004150447351773945,not_computed,nan,0,Optimization terminated successfully,28.188551425933838
D1,Dataset 1,19,D1,ZIP--ZINB,identity,-44338.89328110626,88697.78656221252,88776.82143773789,20000,10,True,17,0.00020475433342636087,inverse,3.350660452739207,10,Optimization terminated successfully,45.1555552482605
D1,Dataset 1,18,D1,Poisson,identity,-99411.18247168223,198826.36494336446,198842.17191846954,20000,2,True,7,1.583671301147449e-05,not_computed,nan,0,Optimization terminated successfully,0.5001003742218018
D1,Dataset 1,18,D1,NB,identity,-46683.648969878064,93373.29793975613,93397.00840241373,20000,3,True,8,1.1987203837465765e-05,not_computed,nan,0,Optimization terminated successfully,1.4000630378723145
D1,Dataset 1,18,D1,ZIP,identity,-71471.08686076786,142950.1737215357,142981.78767174587,20000,4,True,14,0.00012962217417056277,not_computed,nan,0,Optimization terminated successfully,7.143028020858765
D1,Dataset 1,18,D1,ZINB,identity,-45878.46924780294,91766.93849560588,91806.45593336856,20000,5,True,19,0.0005781155707758057,not_computed,nan,0,Optimization terminated successfully,11.342566013336182
D1,Dataset 1,18,D1,P+NB,identity,-45281.66260592602,90575.32521185205,90622.74613716727,20000,6,True,19,0.0004958987853832253,not_computed,nan,0,Optimization terminated successfully,11.015011548995972
D1,Dataset 1,18,D1,Z+P+NB,identity,-44698.12577703547,89412.25155407094,89475.47945449123,20000,8,True,24,0.0003354090932150555,not_computed,nan,0,Optimization terminated successfully,24.2024245262146
D1,Dataset 1,18,D1,ZIP--ZINB,identity,-44613.76061290379,89247.52122580758,89326.55610133294,20000,10,True,42,7.11272505707905e-05,inverse,3.9476593100635977,10,Optimization terminated successfully,50.11152172088623
D1,Dataset 1,17,D1,Poisson,identity,-97116.57586043175,194237.1517208635,194252.95869596858,20000,2,True,6,0.00026391554312543697,not_computed,nan,0,Optimization terminated successfully,0.4244265556335449
D1,Dataset 1,17,D1,NB,identity,-46508.35784353214,93022.71568706428,93046.42614972188,20000,3,True,17,0.00010189968883622669,not_computed,nan,0,Optimization terminated successfully,1.9145264625549316
D1,Dataset 1,17,D1,ZIP,identity,-70488.6480150766,140985.2960301532,141016.90998036336,20000,4,True,11,0.0006207248972622814,not_computed,nan,0,Optimization terminated successfully,3.832967519760132
D1,Dataset 1,17,D1,ZINB,identity,-45790.28366442483,91590.56732884966,91630.08476661234,20000,5,True,19,0.0001740427848249404,not_computed,nan,0,Optimization terminated successfully,13.100797653198242
D1,Dataset 1,17,D1,P+NB,identity,-45057.392995377006,90126.78599075401,90174.20691606923,20000,6,True,18,0.0002130016387376088,not_computed,nan,0,Optimization terminated successfully,12.78510332107544
D1,Dataset 1,17,D1,Z+P+NB,identity,-44533.759895540614,89083.51979108123,89146.74769150151,20000,8,True,22,0.0005888475616175892,not_computed,nan,0,Optimization terminated successfully,30.817371606826782
D1,Dataset 1,17,D1,ZIP--ZINB,identity,-44471.11378947666,88962.22757895332,89041.26245447868,20000,10,True,48,0.0009779336574612385,inverse,3.3217225028746453,10,Optimization terminated successfully,44.88383483886719
D1,Dataset 1,21,D1,Poisson,identity,-95494.43755644464,190992.87511288928,191008.68208799436,20000,2,True,7,4.32483439564979e-06,not_computed,nan,0,Optimization terminated successfully,0.5711269378662109
D1,Dataset 1,21,D1,NB,identity,-46503.20499818268,93012.40999636536,93036.12045902296,20000,3,True,17,2.7496493657880317e-05,not_computed,nan,0,Optimization terminated successfully,1.6096396446228027
D1,Dataset 1,21,D1,ZIP,identity,-68868.59395774934,137745.18791549868,137776.80186570884,20000,4,True,13,0.00012669220941829984,not_computed,nan,0,Optimization terminated successfully,4.055871963500977
D1,Dataset 1,21,D1,ZINB,identity,-45746.26791925701,91502.53583851401,91542.0532762767,20000,5,True,25,0.00035902778384069856,not_computed,nan,0,Optimization terminated successfully,15.529886722564697
D1,Dataset 1,21,D1,P+NB,identity,-45135.42720428336,90282.85440856672,90330.27533388195,20000,6,True,16,0.00020962899911936006,not_computed,nan,0,Optimization terminated successfully,9.623944997787476
D1,Dataset 1,21,D1,Z+P+NB,identity,-44607.52353509668,89231.04707019337,89294.27497061365,20000,8,True,23,0.00015356286795112362,not_computed,nan,0,Optimization terminated successfully,25.597576379776
