Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,33,varphi,9.26220343258998,10.25833412933386
D1,Dataset 1,33,alpha,1.5,1.2752516378273546
D1,Dataset 1,33,omega,0.1455875550460505,0.1490127333677353
D1,Dataset 1,34,rho,0.7,0.6901913101335732
D1,Dataset 1,34,lambda,3.502047596940535,3.5406145327623024
D1,Dataset 1,34,pi,0.39583349151162245,0.399289476666686
D1,Dataset 1,34,varphi,9.257166589291872,8.76144564556999
D1,Dataset 1,34,alpha,1.5,1.595379204055913
D1,Dataset 1,34,omega,0.1451853269023741,0.1417229616546494
D1,Dataset 1,35,rho,0.7,0.6981170857498721
D1,Dataset 1,35,lambda,3.493564266547084,3.5376679186429216
D1,Dataset 1,35,pi,0.39392846521929664,0.40562365012241214
D1,Dataset 1,35,varphi,9.227474932914795,8.938586149270172
D1,Dataset 1,35,alpha,1.5,1.5782454153615728
D1,Dataset 1,35,omega,0.14621747890411965,0.10372329038148967
D1,Dataset 1,32,rho,0.7,0.7128146608463709
D1,Dataset 1,32,lambda,3.4993991835721427,3.508632788044544
D1,Dataset 1,32,pi,0.39548895221514174,0.40927591758352017
D1,Dataset 1,32,varphi,9.2478971425025,9.50925113240676
D1,Dataset 1,32,alpha,1.5,1.4292177707435232
D1,Dataset 1,32,omega,0.14711989184806956,0.14639113522889174
D1,Dataset 1,37,rho,0.7,0.6870780744942416
D1,Dataset 1,37,lambda,3.491158678607423,3.5571005133036016
D1,Dataset 1,37,pi,0.39323602868339597,0.3878137766119044
D1,Dataset 1,37,varphi,9.219055375125977,8.74456611735722
D1,Dataset 1,37,alpha,1.5,1.5713681047012145
D1,Dataset 1,37,omega,0.14548341135084075,0.14197866147476784
D1,Dataset 1,31,rho,0.7,0.7220536783997515
D1,Dataset 1,31,lambda,3.502320991690753,3.420476113776784
D1,Dataset 1,31,pi,0.39586671434015297,0.39591399238361175
D1,Dataset 1,31,varphi,9.258123470917631,10.302747303420002
D1,Dataset 1,31,alpha,1.5,1.2800312901894153
D1,Dataset 1,31,omega,0.14489819729850578,0.17270876864855536
D1,Dataset 1,36,rho,0.7,0.7078207903264964
D1,Dataset 1,36,lambda,3.5015764344198863,3.491821421884922
D1,Dataset 1,36,pi,0.3958022268880367,0.4116606116461131
D1,Dataset 1,36,varphi,9.255517520469605,9.39304185022624
D1,Dataset 1,36,alpha,1.5,1.5021467299711382
D1,Dataset 1,36,omega,0.14572987063456827,0.11260072060384836
D1,Dataset 1,42,rho,0.7,0.7354638970991074
D1,Dataset 1,42,lambda,3.5058575498877347,3.5072316076623196
D1,Dataset 1,42,pi,0.39669286005575866,0.4075075527392709
D1,Dataset 1,42,varphi,9.27050142460707,10.134183152271088
D1,Dataset 1,42,alpha,1.5,1.2205390709394963
D1,Dataset 1,42,omega,0.1447620846344897,0.13301620326016225
D1,Dataset 1,38,rho,0.7,0.6806796232841379
D1,Dataset 1,38,lambda,3.5007971933120907,3.55651064084312
D1,Dataset 1,38,pi,0.3955448931380501,0.3988252493463908
D1,Dataset 1,38,varphi,9.252790176592319,8.507419878628918
D1,Dataset 1,38,alpha,1.5,1.7533007781589653
D1,Dataset 1,38,omega,0.14523348735904254,0.12950033268967817
D1,Dataset 1,39,rho,0.7,0.6906876852647855
D1,Dataset 1,39,lambda,3.4985366659716006,3.485598626458669
D1,Dataset 1,39,pi,0.3949636734345376,0.3858177180787999
D1,Dataset 1,39,varphi,9.244878330900601,9.698236716680407
D1,Dataset 1,39,alpha,1.5,1.4254443303837638
D1,Dataset 1,39,omega,0.14510563265491955,0.17174242693959904
D1,Dataset 1,40,rho,0.7,0.6794719002503885
D1,Dataset 1,40,lambda,3.5076456618623006,3.4974076378197183
D1,Dataset 1,40,pi,0.39727349968916026,0.3923845720154333
D1,Dataset 1,40,varphi,9.276759816518053,9.441390083793799
D1,Dataset 1,40,alpha,1.5,1.5643148326108984
D1,Dataset 1,40,omega,0.14559891702336014,0.18069139753566082
D1,Dataset 1,41,rho,0.7,0.707992580982335
D1,Dataset 1,41,lambda,3.503512925856685,3.507343691260084
D1,Dataset 1,41,pi,0.3962801549824493,0.40033839608131533
D1,Dataset 1,41,varphi,9.262295240498398,9.248378358652156
D1,Dataset 1,41,alpha,1.5,1.4846686065706045
D1,Dataset 1,41,omega,0.1458970037801018,0.11891134845766967
D1,Dataset 1,43,rho,0.7,0.7053889067243693
D1,Dataset 1,43,lambda,3.4925078552453073,3.505521107548577
D1,Dataset 1,43,pi,0.3939289199805553,0.3957170329854947
D1,Dataset 1,43,varphi,9.223777493358575,9.5474341504114
D1,Dataset 1,43,alpha,1.5,1.340899775931413
D1,Dataset 1,43,omega,0.14830089929740656,0.16002125586030977
D1,Dataset 1,44,rho,0.7,0.7101900297491514
D1,Dataset 1,44,lambda,3.4895314654536858,3.4327964222881717
D1,Dataset 1,44,pi,0.3932178107856698,0.392735783090815
D1,Dataset 1,44,varphi,9.2133601290879,9.604314538009097
D1,Dataset 1,44,alpha,1.5,1.3635908188371173
D1,Dataset 1,44,omega,0.14811002239842616,0.1512720422560461
D1,Dataset 1,47,rho,0.7,0.7124416340620067
D1,Dataset 1,47,lambda,3.5020469671798433,3.489038645266554
D1,Dataset 1,47,pi,0.3960673882246544,0.390648081860267
D1,Dataset 1,47,varphi,9.257164385129453,9.614525238834574
D1,Dataset 1,47,alpha,1.5,1.445534212971021
D1,Dataset 1,47,omega,0.14672960640256139,0.1539233341053383
D1,Dataset 1,48,rho,0.7,0.6986643291647056
D1,Dataset 1,48,lambda,3.4929396157112613,3.4971054239834745
D1,Dataset 1,48,pi,0.3938690707695142,0.39075253395273496
D1,Dataset 1,48,varphi,9.225288654989415,9.309225196978776
D1,Dataset 1,48,alpha,1.5,1.535805288375628
D1,Dataset 1,48,omega,0.14670892466304516,0.17509202834721418
D1,Dataset 1,45,rho,0.7,0.7152284730120511
D1,Dataset 1,45,lambda,3.5030147815968506,3.515768135160198
D1,Dataset 1,45,pi,0.3960740478431539,0.397983595829755
D1,Dataset 1,45,varphi,9.260551735588978,9.75787516922588
D1,Dataset 1,45,alpha,1.5,1.4558112385991484
D1,Dataset 1,45,omega,0.14528670893791665,0.1443792818215036
D1,Dataset 1,46,rho,0.7,0.7039763132791089
D1,Dataset 1,46,lambda,3.504795817336874,3.524509035095523
D1,Dataset 1,46,pi,0.39658411760608775,0.3920222051173904
D1,Dataset 1,46,varphi,9.266785360679059,9.155590255501387
D1,Dataset 1,46,alpha,1.5,1.3857075500735085
D1,Dataset 1,46,omega,0.1456772314464292,0.1523957847981178
D1,Dataset 1,54,rho,0.7,0.6732949484553976
D1,Dataset 1,54,lambda,3.4968956757783527,3.568462866392074
D1,Dataset 1,54,pi,0.39472610053314283,0.39307183584207617
D1,Dataset 1,54,varphi,9.239134865224234,8.50148773536621
D1,Dataset 1,54,alpha,1.5,1.697773765330831
D1,Dataset 1,54,omega,0.1460976390569517,0.1318271105987987
D1,Dataset 1,50,rho,0.7,0.7007775620019874
D1,Dataset 1,50,lambda,3.50521984350145,3.501080828064301
D1,Dataset 1,50,pi,0.39665885304460924,0.3895043155747652
D1,Dataset 1,50,varphi,9.268269452255074,9.214069575129688
D1,Dataset 1,50,alpha,1.5,1.3619853167802778
D1,Dataset 1,50,omega,0.1456062435953069,0.16578728837657905
D1,Dataset 1,51,rho,0.7,0.6899750574065706
D1,Dataset 1,51,lambda,3.5088012170783784,3.529595191965781
D1,Dataset 1,51,pi,0.39723479678729134,0.40742635209220646
D1,Dataset 1,51,varphi,9.280804259774325,9.038277307309112
D1,Dataset 1,51,alpha,1.5,1.5607695345720545
D1,Dataset 1,51,omega,0.1435028710890801,0.12344371379767208
D1,Dataset 1,55,rho,0.7,0.698519107673727
D1,Dataset 1,55,lambda,3.4997018445127908,3.4836562689989115
D1,Dataset 1,55,pi,0.3954269566262463,0.3925309574017877
D1,Dataset 1,55,varphi,9.248956455794767,9.81594089292684
D1,Dataset 1,55,alpha,1.5,1.399345279720256
D1,Dataset 1,55,omega,0.14596895639777072,0.19353506651923208
D1,Dataset 1,53,rho,0.7,0.7077783493288548
D1,Dataset 1,53,lambda,3.4907318275224357,3.5081929309361577
D1,Dataset 1,53,pi,0.3935149772066512,0.3861728035672327
D1,Dataset 1,53,varphi,9.217561396328525,9.32026736076653
D1,Dataset 1,53,alpha,1.5,1.4769412136391376
D1,Dataset 1,53,omega,0.14814138960431616,0.16666761733912844
D1,Dataset 1,49,rho,0.7,0.7024003531749284
D1,Dataset 1,49,lambda,3.497621361695096,3.4472967895739095
D1,Dataset 1,49,pi,0.39503300393926816,0.405551881493368
D1,Dataset 1,49,varphi,9.241674765932837,9.137166618969548
D1,Dataset 1,49,alpha,1.5,1.4359039050393883
D1,Dataset 1,49,omega,0.14724298001108488,0.13100596157754898
D1,Dataset 1,56,rho,0.7,0.6979670127052071
D1,Dataset 1,56,lambda,3.5092459697464515,3.47884402314736
D1,Dataset 1,56,pi,0.39739142462531146,0.4032080396401355
D1,Dataset 1,56,varphi,9.28236089411258,9.26474734592766
D1,Dataset 1,56,alpha,1.5,1.4799187017479005
D1,Dataset 1,56,omega,0.1436654820766277,0.13607216495523589
D1,Dataset 1,52,rho,0.7,0.6901214714692979
D1,Dataset 1,52,lambda,3.494867605120557,3.5021505138538807
D1,Dataset 1,52,pi,0.3942116333576379,0.3910048597770246
D1,Dataset 1,52,varphi,9.232036617921949,8.682641109562445
D1,Dataset 1,52,alpha,1.5,1.578060742197353
D1,Dataset 1,52,omega,0.1460481640010882,0.12966539396272608
D1,Dataset 1,57,rho,0.7,0.7046374257016986
D1,Dataset 1,57,lambda,3.5025193808885677,3.5229827241768277
D1,Dataset 1,57,pi,0.39593399045070515,0.38696161275451046
D1,Dataset 1,57,varphi,9.258817833109985,9.478497426048786
D1,Dataset 1,57,alpha,1.5,1.5488737563191717
D1,Dataset 1,57,omega,0.14502405057819023,0.16437876564075848
D1,Dataset 1,59,rho,0.7,0.6914678481046762
D1,Dataset 1,59,lambda,3.502063910331516,3.4511339698631462
D1,Dataset 1,59,pi,0.3958568928311698,0.39502925789925913
D1,Dataset 1,59,varphi,9.257223686160305,9.013470541963194
D1,Dataset 1,59,alpha,1.5,1.42132311853663
D1,Dataset 1,59,omega,0.144994008476878,0.15511556482251734
D1,Dataset 1,58,rho,0.7,0.6936780334990399
D1,Dataset 1,58,lambda,3.49704062889325,3.477201191927572
D1,Dataset 1,58,pi,0.3947301770976938,0.3938951426450087
D1,Dataset 1,58,varphi,9.239642201126376,8.955733483337868
D1,Dataset 1,58,alpha,1.5,1.6307383260430048
D1,Dataset 1,58,omega,0.14593666004886965,0.1429113472786248
D1,Dataset 1,62,rho,0.7,0.6972555956962085
D1,Dataset 1,62,lambda,3.5010483132841315,3.486171696535197
D1,Dataset 1,62,pi,0.39559516537488737,0.39715942106181845
D1,Dataset 1,62,varphi,9.253669096494457,9.174430213152364
D1,Dataset 1,62,alpha,1.5,1.5103364537601713
D1,Dataset 1,62,omega,0.14523998357544615,0.14232159361993282
D1,Dataset 1,61,rho,0.7,0.713908006497554
