Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,grad_norm_inf
D1,Dataset 1,44,NB,2.046147108078003,True,9,3.847346894382542e-05
D1,Dataset 1,44,ZIP,4.923538446426392,True,12,0.0003224297114342578
D1,Dataset 1,44,ZINB,17.366830825805664,True,18,0.00026701667974412743
D1,Dataset 1,44,P+NB,10.227250576019287,True,15,0.00018289126197768013
D1,Dataset 1,44,Z+P+NB,27.87564206123352,True,28,0.0006920603342990272
D1,Dataset 1,44,ZIP--ZINB,52.381343841552734,True,37,0.0003230822087512686
D1,Dataset 1,47,Poisson,0.6300735473632812,True,6,1.2980547620777827e-05
D1,Dataset 1,47,NB,2.4942386150360107,True,10,0.00027900896103585926
D1,Dataset 1,47,ZIP,5.511179208755493,True,12,0.00011318714455018427
D1,Dataset 1,47,ZINB,9.337990999221802,True,15,4.6290816904659415e-05
D1,Dataset 1,47,P+NB,10.81618356704712,True,18,0.00017710490945876955
D1,Dataset 1,47,Z+P+NB,28.716920375823975,True,20,0.0008415372480961025
D1,Dataset 1,47,ZIP--ZINB,47.21348834037781,True,15,0.00011809972145138126
D1,Dataset 1,48,Poisson,0.8774652481079102,True,8,4.275224118281684e-05
D1,Dataset 1,48,NB,2.0604653358459473,True,18,7.351863067128761e-05
D1,Dataset 1,48,ZIP,3.923659086227417,True,12,0.00045364364941363755
D1,Dataset 1,48,ZINB,12.111598253250122,True,15,0.0004618265456870496
D1,Dataset 1,48,P+NB,9.221894979476929,True,17,0.00044117095125142947
D1,Dataset 1,48,Z+P+NB,27.739073038101196,True,18,0.0005198048966797986
D1,Dataset 1,48,ZIP--ZINB,48.098204135894775,True,14,9.620361722265103e-05
D1,Dataset 1,45,Poisson,0.5797061920166016,True,7,1.1899515002689043e-05
D1,Dataset 1,45,NB,1.360236644744873,True,9,0.00016946342970669548
D1,Dataset 1,45,ZIP,3.862983226776123,True,12,4.836268450336689e-05
D1,Dataset 1,45,ZINB,11.801271200180054,True,19,0.0006938814400641174
D1,Dataset 1,45,P+NB,9.370607852935791,True,15,2.0453588405189294e-06
D1,Dataset 1,45,Z+P+NB,29.314573764801025,True,22,0.00011125003821721435
D1,Dataset 1,45,ZIP--ZINB,51.04116225242615,True,44,0.0004357108759756728
D1,Dataset 1,46,Poisson,0.4659390449523926,True,7,0.00022102000024407098
D1,Dataset 1,46,NB,2.131124496459961,True,10,1.1907702152039873e-05
D1,Dataset 1,46,ZIP,5.584104061126709,True,11,0.0001384711579908715
D1,Dataset 1,46,ZINB,15.104032278060913,True,21,6.75884311575059e-05
D1,Dataset 1,46,P+NB,11.424663543701172,True,20,4.927006193611305e-05
D1,Dataset 1,46,Z+P+NB,26.74091410636902,True,21,0.00021135825483220572
