Scenario,Dataset,Rep,Count,Observed,Expected,RootogramDiff
D3,Dataset 3,1,25,9.0,8.787151362471885,0.0356870336498063
D3,Dataset 3,1,26,9.0,7.992652088866334,0.1728721131037716
D3,Dataset 3,1,27,6.0,7.27290435754155,-0.2473425392732258
D3,Dataset 3,1,28,3.0,6.62055310025844,-0.8409927404999151
D3,Dataset 3,1,29,7.0,6.029007863618926,0.1903475023970782
D3,Dataset 3,1,30,4.0,5.492357040810354,-0.3435778290490705
D3,Dataset 3,1,31,6.0,5.005292987212178,0.21223853042186214
D3,Dataset 3,1,32,6.0,4.563046262980813,0.31336093978912327
D3,Dataset 3,1,33,2.0,4.161327693682997,-0.6257196947907262
D3,Dataset 3,1,34,2.0,3.796277191923714,-0.5341901924795058
D3,Dataset 3,1,35,3.0,3.4644184572725285,-0.129244025946901
D3,Dataset 3,1,36,1.0,3.1626188065176075,-0.7783753277971464
D3,Dataset 3,1,37,1.0,2.888053495392899,-0.6994274022131393
D3,Dataset 3,1,38,1.0,2.638173983106282,-0.6242456658727096
D3,Dataset 3,1,39,5.0,2.410679666337021,0.683431617518155
D3,Dataset 3,1,40,2.0,2.2034926727640096,-0.07020304786946396
D3,Dataset 3,1,41,2.0,2.014735357873806,-0.005200175010690478
D3,Dataset 3,1,42,4.0,1.842710194473217,0.6425353800289244
D3,Dataset 3,1,43,1.0,1.6858817834036604,-0.29841510442680086
D3,Dataset 3,1,44,1.0,1.5428607475036116,-0.24211945782344602
D3,Dataset 3,1,45,0.0,1.4123892997900716,-1.1884398595596126
D3,Dataset 3,1,46,0.0,1.2933283018599178,-1.1372459284868501
D3,Dataset 3,1,47,1.0,1.1846456502301017,-0.08841428244492544
D3,Dataset 3,1,48,2.0,1.08540584724975,0.37238543487329
D3,Dataset 3,1,49,2.0,0.9947606297177536,0.4168366879080043
D3,Dataset 3,1,50,0.0,0.9119405427861407,-0.9549557805396754
D3,Dataset 3,1,51,0.0,0.8362473593870707,-0.9144656141086284
D3,Dataset 3,1,52,2.0,0.7670472565540496,0.5384012214266743
D3,Dataset 3,1,53,1.0,0.7037646698001102,0.1610931697738358
D3,Dataset 3,1,54,2.0,0.645876755356521,0.6105489834867783
D3,Dataset 3,1,55,0.0,0.5929083977032865,-0.7700054530347733
D3,Dataset 3,1,56,0.0,0.5444277065738524,-0.7378534451866796
D3,Dataset 3,1,57,2.0,0.500041953591554,0.7070771161397292
D3,Dataset 3,1,58,1.0,0.45939390399869345,0.32221396886724385
D3,Dataset 3,1,59,0.0,0.42215850364491325,-0.6497372573932584
D3,Dataset 3,1,60,0.0,0.38803988558444347,-0.6229284754965401
D3,Dataset 3,1,>60,6.0,4.582894891396944,0.30872004676332265
