Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
H2AX4H100,log,2,ZIP--ZINB,0.4044458866119385,True,51,-983.9867645665538,1987.9735291331076,2029.6486940419911,0.08118107441339054,not_computed
H2AX4H100,log,3,Poisson,0.028900623321533203,True,9,-1046.72530944976,2097.45061889952,2105.785651881297,5.2225896052249254e-06,not_computed
H2AX4H100,log,3,NB,0.0736699104309082,True,13,-1043.192120293952,2092.384240587904,2104.886790060569,0.00014495303433648132,not_computed
H2AX4H100,log,3,ZIP,0.06672811508178711,True,11,-984.1483377850387,1976.2966755700775,1992.9667415336307,0.00020081306033503665,not_computed
H2AX4H100,log,3,ZINB,0.2180311679840088,True,32,-984.1478211221515,1978.295642244303,1999.1332246987447,0.00012924616344775903,not_computed
H2AX4H100,log,3,P+NB,0.473480224609375,True,84,-985.4434733638325,1982.886946727665,2007.892045672995,2.6859456669470205e-05,not_computed
H2AX4H100,log,3,Z+P+NB,0.39497804641723633,True,36,-984.1483377931863,1984.2966755863727,2017.6368075134794,1.4764274141043643e-06,not_computed
H2AX4H100,log,3,ZIP--ZINB,0.4030032157897949,True,91,-982.1895541479838,1984.3791082959676,2026.0542732048511,0.0008591178643388986,not_computed
H2AX4H100,log,4,Poisson,0.029488325119018555,True,7,-1027.331832529699,2058.663665059398,2066.998698041175,0.0001095064479277319,not_computed
H2AX4H100,log,4,NB,0.0698246955871582,True,14,-1027.0148123678784,2060.029624735757,2072.532174208422,0.0007384650148702931,not_computed
H2AX4H100,log,4,ZIP,0.06619048118591309,True,10,-977.4562317772566,1962.9124635545131,1979.5825295180664,7.574255581044298e-05,not_computed
H2AX4H100,log,4,ZINB,0.20790481567382812,True,30,-977.4556863672568,1964.9113727345136,1985.7489551889553,0.0007521914765513671,not_computed
H2AX4H100,log,4,P+NB,0.3926401138305664,True,67,-977.9544894277567,1967.9089788555134,1992.9140778008434,3.460341044814186e-07,not_computed
H2AX4H100,log,4,Z+P+NB,0.3792893886566162,True,31,-977.456229717126,1970.912459434252,2004.2525913613588,0.0028532144881402294,not_computed
H2AX4H100,log,4,ZIP--ZINB,0.5425963401794434,True,48,-976.6301494731791,1973.2602989463583,2014.9354638552418,0.1110322554179542,not_computed
H2AX4H100,log,1,Poisson,0.029128551483154297,True,8,-1035.7032187100115,2075.406437420023,2083.7414704017997,0.00016303148977669935,not_computed
H2AX4H100,log,1,NB,0.07526731491088867,True,11,-1034.350372254724,2074.700744509448,2087.2032939821133,3.814389429535048e-05,not_computed
H2AX4H100,log,1,ZIP,0.06721925735473633,True,12,-976.4803876082252,1960.9607752164504,1977.6308411800037,7.161810643729893e-05,not_computed
H2AX4H100,log,1,ZINB,0.1980750560760498,True,27,-976.4800068318499,1962.9600136636998,1983.7975961181414,0.00375567497695517,not_computed
H2AX4H100,log,1,P+NB,0.3948216438293457,True,88,-978.4144443794908,1968.8288887589815,1993.8339877043115,0.000773401123859152,not_computed
H2AX4H100,log,1,Z+P+NB,0.3813469409942627,True,35,-976.4803848878905,1968.960769775781,2002.3009017028878,0.01041784990306277,not_computed
H2AX4H100,log,1,ZIP--ZINB,0.657792329788208,True,90,-974.0345784146825,1968.069156829365,2009.7443217382486,0.0025753882912722403,not_computed
C3,log,4,Poisson,0.08171558380126953,True,10,-2773.3276096831646,5552.655219366329,5571.153868172106,0.0007564114765443719,not_computed
C3,log,4,NB,0.2935934066772461,True,27,-2511.870885911562,5031.741771823124,5056.406636897492,0.0008978953743792317,not_computed
C3,log,4,ZIP,0.26587557792663574,True,16,-2451.440721872356,4912.881443744712,4943.7125250876725,0.00016923984317429586,not_computed
C3,log,4,ZINB,0.5617296695709229,True,25,-2451.174887797045,4914.34977559409,4951.347073205643,0.0008603418886963254,not_computed
C3,log,4,P+NB,1.6766090393066406,True,62,-2446.782231690556,4909.564463381112,4958.894193529849,0.00015888458547153188,not_computed
C3,log,4,Z+P+NB,2.2893383502960205,True,89,-2446.5517446835183,4913.103489367037,4974.765652052958,0.019864327974374874,not_computed
C3,log,4,ZIP--ZINB,3.1617915630340576,True,62,-2446.2569838293193,4916.513967658639,4990.508562881744,0.0958830992781401,not_computed
C3,log,3,Poisson,0.07361769676208496,True,10,-2747.7710152905192,5501.5420305810385,5520.040679386815,0.001196454130820257,not_computed
C3,log,3,NB,0.22576260566711426,True,9,-2515.624036580335,5039.24807316067,5063.912938235038,0.0007027096259548671,not_computed
C3,log,3,ZIP,0.27122998237609863,True,13,-2460.172235578718,4930.344471157436,4961.175552500396,0.0001941714871840361,not_computed
C3,log,3,ZINB,0.5444850921630859,True,21,-2459.8798315329173,4931.7596630658345,4968.756960677388,0.004009101793556624,not_computed
C3,log,3,P+NB,1.2165138721466064,True,53,-2456.8367355692067,4929.673471138413,4979.003201287151,0.0005085923028786965,not_computed
