Dataset,Model,Link,Row,Col,Value
C2,Z+P+NB,identity,5,7,627.6246397894716
C2,Z+P+NB,identity,5,8,1865.414780900487
C2,Z+P+NB,identity,5,9,-1.091443068094342e-07
C2,Z+P+NB,identity,6,0,-418.05766977179076
C2,Z+P+NB,identity,6,1,-329.24293884085324
C2,Z+P+NB,identity,6,2,1795.0736335659667
C2,Z+P+NB,identity,6,3,12337.038688698985
C2,Z+P+NB,identity,6,4,-2506.378112380419
C2,Z+P+NB,identity,6,5,-9551.699222868692
C2,Z+P+NB,identity,6,6,-41388.691087704916
C2,Z+P+NB,identity,6,7,1865.414780900487
C2,Z+P+NB,identity,6,8,6780.093101251498
C2,Z+P+NB,identity,6,9,-7.377432082168746e-07
C2,Z+P+NB,identity,7,0,107.522393610773
C2,Z+P+NB,identity,7,1,608.727141617798
C2,Z+P+NB,identity,7,2,901.1021442290237
C2,Z+P+NB,identity,7,3,1708.538478343169
C2,Z+P+NB,identity,7,4,287.96154590597337
C2,Z+P+NB,identity,7,5,627.6246397894716
C2,Z+P+NB,identity,7,6,1865.414780900487
C2,Z+P+NB,identity,7,7,-377.3925467315314
C2,Z+P+NB,identity,7,8,-1169.9033199181974
C2,Z+P+NB,identity,7,9,-9.37008686086787e-08
C2,Z+P+NB,identity,8,0,320.0015307500282
C2,Z+P+NB,identity,8,1,901.1021442290237
C2,Z+P+NB,identity,8,2,1708.5384783431687
C2,Z+P+NB,identity,8,3,4160.189968104304
C2,Z+P+NB,identity,8,4,627.6246397894716
C2,Z+P+NB,identity,8,5,1865.414780900487
C2,Z+P+NB,identity,8,6,6780.093101251498
C2,Z+P+NB,identity,8,7,-1169.9033199181974
C2,Z+P+NB,identity,8,8,-4338.804985745623
C2,Z+P+NB,identity,8,9,-3.3617058443810516e-07
C2,Z+P+NB,identity,9,0,2.2082343338878148e-08
C2,Z+P+NB,identity,9,1,-7.052918643893932e-08
C2,Z+P+NB,identity,9,2,-3.0642892359455787e-07
C2,Z+P+NB,identity,9,3,-1.4661323189631418e-06
C2,Z+P+NB,identity,9,4,-1.2428053934735434e-07
C2,Z+P+NB,identity,9,5,-1.091443068094342e-07
C2,Z+P+NB,identity,9,6,-7.377432082168746e-07
C2,Z+P+NB,identity,9,7,-9.37008686086787e-08
C2,Z+P+NB,identity,9,8,-3.3617058443810516e-07
C2,Z+P+NB,identity,9,9,-2.2368052459232924e-08
C2,Z+P+NB,log,0,0,-17.287138714315986
C2,Z+P+NB,log,0,1,1.6384344295295339
C2,Z+P+NB,log,0,2,-44.61117699952309
C2,Z+P+NB,log,0,3,-249.0866144564681
C2,Z+P+NB,log,0,4,12.857120059698685
C2,Z+P+NB,log,0,5,20.615931084530764
C2,Z+P+NB,log,0,6,32.81077572924882
C2,Z+P+NB,log,0,7,28.522541992917127
C2,Z+P+NB,log,0,8,175.44713629088636
C2,Z+P+NB,log,0,9,-4.4976207641445776e-07
C2,Z+P+NB,log,1,0,1.6384344295295339
C2,Z+P+NB,log,1,1,-869.7060304194845
C2,Z+P+NB,log,1,2,-3293.1384186249925
C2,Z+P+NB,log,1,3,-14015.092722200023
C2,Z+P+NB,log,1,4,-68.48341898284423
C2,Z+P+NB,log,1,5,-111.03052001984406
C2,Z+P+NB,log,1,6,-206.87850753135174
C2,Z+P+NB,log,1,7,257.57081978802034
C2,Z+P+NB,log,1,8,591.5054707223509
C2,Z+P+NB,log,1,9,3.8602980388791404e-07
C2,Z+P+NB,log,2,0,-44.61117699952309
C2,Z+P+NB,log,2,1,-3293.1384186249925
C2,Z+P+NB,log,2,2,-14015.09272220002
C2,Z+P+NB,log,2,3,-63021.420552821066
C2,Z+P+NB,log,2,4,-111.03052001984406
C2,Z+P+NB,log,2,5,-206.87850753135174
C2,Z+P+NB,log,2,6,-427.60944953717075
C2,Z+P+NB,log,2,7,591.505470722351
C2,Z+P+NB,log,2,8,1701.436046145373
C2,Z+P+NB,log,2,9,8.073468518831887e-07
C2,Z+P+NB,log,3,0,-249.0866144564681
C2,Z+P+NB,log,3,1,-14015.092722200023
C2,Z+P+NB,log,3,2,-63021.420552821066
C2,Z+P+NB,log,3,3,-292144.47827119846
C2,Z+P+NB,log,3,4,-206.87850753135174
C2,Z+P+NB,log,3,5,-427.6094495371707
C2,Z+P+NB,log,3,6,-943.1093316373001
C2,Z+P+NB,log,3,7,1701.436046145373
C2,Z+P+NB,log,3,8,5713.7577969098365
C2,Z+P+NB,log,3,9,1.4263975784453076e-06
C2,Z+P+NB,log,4,0,12.857120059698685
C2,Z+P+NB,log,4,1,-68.48341898284423
C2,Z+P+NB,log,4,2,-111.03052001984406
C2,Z+P+NB,log,4,3,-206.87850753135174
C2,Z+P+NB,log,4,4,-50.4428447104564
C2,Z+P+NB,log,4,5,-88.31948426554442
C2,Z+P+NB,log,4,6,-166.71526641361027
C2,Z+P+NB,log,4,7,59.80280407763483
C2,Z+P+NB,log,4,8,105.65609857237425
C2,Z+P+NB,log,4,9,-1.0812479464934627e-06
C2,Z+P+NB,log,5,0,20.615931084530764
C2,Z+P+NB,log,5,1,-111.03052001984406
C2,Z+P+NB,log,5,2,-206.87850753135174
C2,Z+P+NB,log,5,3,-427.6094495371707
C2,Z+P+NB,log,5,4,-88.31948426554442
C2,Z+P+NB,log,5,5,-166.71526641361027
C2,Z+P+NB,log,5,6,-331.79087844426266
C2,Z+P+NB,log,5,7,105.65609857237425
C2,Z+P+NB,log,5,8,222.9814481436546
C2,Z+P+NB,log,5,9,-2.1725876760664814e-06
C2,Z+P+NB,log,6,0,32.81077572924882
C2,Z+P+NB,log,6,1,-206.87850753135174
C2,Z+P+NB,log,6,2,-427.60944953717075
C2,Z+P+NB,log,6,3,-943.1093316373001
C2,Z+P+NB,log,6,4,-166.71526641361027
C2,Z+P+NB,log,6,5,-331.79087844426266
C2,Z+P+NB,log,6,6,-688.2073669747228
C2,Z+P+NB,log,6,7,222.9814481436546
C2,Z+P+NB,log,6,8,537.5682650154804
C2,Z+P+NB,log,6,9,-4.235387046520482e-06
C2,Z+P+NB,log,7,0,28.522541992917127
C2,Z+P+NB,log,7,1,257.57081978802034
C2,Z+P+NB,log,7,2,591.505470722351
C2,Z+P+NB,log,7,3,1701.436046145373
C2,Z+P+NB,log,7,4,59.80280407763483
C2,Z+P+NB,log,7,5,105.65609857237425
C2,Z+P+NB,log,7,6,222.9814481436546
C2,Z+P+NB,log,7,7,-416.9907583188624
C2,Z+P+NB,log,7,8,-1237.8949634601252
C2,Z+P+NB,log,7,9,-1.1913866040038087e-06
C2,Z+P+NB,log,8,0,175.44713629088636
C2,Z+P+NB,log,8,1,591.5054707223509
C2,Z+P+NB,log,8,2,1701.436046145373
C2,Z+P+NB,log,8,3,5713.7577969098365
C2,Z+P+NB,log,8,4,105.65609857237425
C2,Z+P+NB,log,8,5,222.9814481436546
C2,Z+P+NB,log,8,6,537.5682650154804
C2,Z+P+NB,log,8,7,-1237.8949634601252
C2,Z+P+NB,log,8,8,-4476.635490777916
C2,Z+P+NB,log,8,9,-2.283286356562645e-06
C2,Z+P+NB,log,9,0,-4.4976207641445776e-07
C2,Z+P+NB,log,9,1,3.8602980388791404e-07
C2,Z+P+NB,log,9,2,8.073468518831887e-07
C2,Z+P+NB,log,9,3,1.4263975784453076e-06
C2,Z+P+NB,log,9,4,-1.0812479464934627e-06
C2,Z+P+NB,log,9,5,-2.1725876760664814e-06
C2,Z+P+NB,log,9,6,-4.235387046520482e-06
C2,Z+P+NB,log,9,7,-1.1913866040038087e-06
C2,Z+P+NB,log,9,8,-2.283286356562645e-06
C2,Z+P+NB,log,9,9,-7.129228848779237e-07
C2,ZIP--ZINB,identity,0,0,-13.842202507149944
C2,ZIP--ZINB,identity,0,1,17.42507230449881
C2,ZIP--ZINB,identity,0,2,59.50490541587537
C2,ZIP--ZINB,identity,0,3,100.61483638742533
C2,ZIP--ZINB,identity,0,4,-6.778653090901669
C2,ZIP--ZINB,identity,0,5,-4.297956931885469
C2,ZIP--ZINB,identity,0,6,18.48784594153366
C2,ZIP--ZINB,identity,0,7,57.01769286286913
C2,ZIP--ZINB,identity,0,8,209.72728204508059
C2,ZIP--ZINB,identity,0,9,-1.898114520192397
C2,ZIP--ZINB,identity,0,10,-3.715683709125058
C2,ZIP--ZINB,identity,0,11,5.627803784431477e-07
C2,ZIP--ZINB,identity,1,0,17.42507230449881
C2,ZIP--ZINB,identity,1,1,-3210.8818886858694
C2,ZIP--ZINB,identity,1,2,-4016.2773106889617
C2,ZIP--ZINB,identity,1,3,-6445.756896681549
C2,ZIP--ZINB,identity,1,4,623.2074613063689
C2,ZIP--ZINB,identity,1,5,921.0901201427702
C2,ZIP--ZINB,identity,1,6,-23.814912798375516
C2,ZIP--ZINB,identity,1,7,15.93075427423127
C2,ZIP--ZINB,identity,1,8,344.33299343039636
C2,ZIP--ZINB,identity,1,9,12.746351403816856
C2,ZIP--ZINB,identity,1,10,23.662274051621534
C2,ZIP--ZINB,identity,1,11,2.222779741285003e-05
C2,ZIP--ZINB,identity,2,0,59.50490541587537
C2,ZIP--ZINB,identity,2,1,-4016.2773106889617
C2,ZIP--ZINB,identity,2,2,-6445.756896681549
C2,ZIP--ZINB,identity,2,3,-14687.268239800982
C2,ZIP--ZINB,identity,2,4,921.0901201427702
C2,ZIP--ZINB,identity,2,5,1779.3547443488724
C2,ZIP--ZINB,identity,2,6,15.930754274231274
C2,ZIP--ZINB,identity,2,7,344.33299343039636
C2,ZIP--ZINB,identity,2,8,2201.2095509996398
C2,ZIP--ZINB,identity,2,9,23.662274051621534
C2,ZIP--ZINB,identity,2,10,45.49455157999623
C2,ZIP--ZINB,identity,2,11,4.138212136560798e-05
C2,ZIP--ZINB,identity,3,0,100.61483638742533
C2,ZIP--ZINB,identity,3,1,-6445.756896681549
C2,ZIP--ZINB,identity,3,2,-14687.268239800982
C2,ZIP--ZINB,identity,3,3,-45656.9473890052
C2,ZIP--ZINB,identity,3,4,1779.3547443488724
C2,ZIP--ZINB,identity,3,5,4493.157265456003
C2,ZIP--ZINB,identity,3,6,344.33299343039636
C2,ZIP--ZINB,identity,3,7,2201.209550999639
C2,ZIP--ZINB,identity,3,8,11683.623383091475
C2,ZIP--ZINB,identity,3,9,45.49455157999623
C2,ZIP--ZINB,identity,3,10,89.16040333421844
C2,ZIP--ZINB,identity,3,11,7.510805766920367e-05
C2,ZIP--ZINB,identity,4,0,-6.778653090901669
C2,ZIP--ZINB,identity,4,1,623.2074613063689
C2,ZIP--ZINB,identity,4,2,921.0901201427702
C2,ZIP--ZINB,identity,4,3,1779.3547443488724
