Dataset,Model,Link,Row,Col,Value,CovarianceStatus
C2,P+NB,log,0,0,0.006391163557992807,inverse
C2,P+NB,log,0,1,0.0013696067078271172,inverse
C2,P+NB,log,0,2,-0.002171079421445416,inverse
C2,P+NB,log,0,3,0.00036882746532463273,inverse
C2,P+NB,log,0,4,-0.03878092244958062,inverse
C2,P+NB,log,0,5,0.039489099473357214,inverse
C2,P+NB,log,0,6,-0.011282816823213141,inverse
C2,P+NB,log,0,7,0.01051055490574954,inverse
C2,P+NB,log,1,0,0.0013696067078271172,inverse
C2,P+NB,log,1,1,0.1465321828801013,inverse
C2,P+NB,log,1,2,-0.07933118736417794,inverse
C2,P+NB,log,1,3,0.010120013728739384,inverse
C2,P+NB,log,1,4,-0.3597636838230417,inverse
C2,P+NB,log,1,5,0.227201840783767,inverse
C2,P+NB,log,1,6,-0.03682546269724739,inverse
C2,P+NB,log,1,7,0.03941280703797727,inverse
C2,P+NB,log,2,0,-0.002171079421445416,inverse
C2,P+NB,log,2,1,-0.07933118736417794,inverse
C2,P+NB,log,2,2,0.04689155519004915,inverse
C2,P+NB,log,2,3,-0.006316423967370224,inverse
C2,P+NB,log,2,4,0.20403419341798346,inverse
C2,P+NB,log,2,5,-0.1414806780742448,inverse
C2,P+NB,log,2,6,0.02521440085257311,inverse
C2,P+NB,log,2,7,-0.022495398312489256,inverse
C2,P+NB,log,3,0,0.00036882746532463273,inverse
C2,P+NB,log,3,1,0.010120013728739384,inverse
C2,P+NB,log,3,2,-0.006316423967370224,inverse
C2,P+NB,log,3,3,0.0008804926312029807,inverse
C2,P+NB,log,3,4,-0.026541607204827018,inverse
C2,P+NB,log,3,5,0.019309332433156568,inverse
C2,P+NB,log,3,6,-0.00357915337378455,inverse
C2,P+NB,log,3,7,0.0029168079624071804,inverse
C2,P+NB,log,4,0,-0.03878092244958062,inverse
C2,P+NB,log,4,1,-0.3597636838230417,inverse
C2,P+NB,log,4,2,0.20403419341798346,inverse
C2,P+NB,log,4,3,-0.026541607204827018,inverse
C2,P+NB,log,4,4,2.1781367971216894,inverse
C2,P+NB,log,4,5,-1.9588582291855334,inverse
C2,P+NB,log,4,6,0.4422536225544048,inverse
C2,P+NB,log,4,7,-0.15580259491426884,inverse
C2,P+NB,log,5,0,0.039489099473357214,inverse
C2,P+NB,log,5,1,0.227201840783767,inverse
C2,P+NB,log,5,2,-0.1414806780742448,inverse
C2,P+NB,log,5,3,0.019309332433156568,inverse
C2,P+NB,log,5,4,-1.9588582291855334,inverse
C2,P+NB,log,5,5,1.9853903306341536,inverse
C2,P+NB,log,5,6,-0.4838066956173289,inverse
C2,P+NB,log,5,7,0.10625189227489723,inverse
C2,P+NB,log,6,0,-0.011282816823213141,inverse
C2,P+NB,log,6,1,-0.03682546269724739,inverse
C2,P+NB,log,6,2,0.02521440085257311,inverse
C2,P+NB,log,6,3,-0.00357915337378455,inverse
C2,P+NB,log,6,4,0.4422536225544048,inverse
C2,P+NB,log,6,5,-0.4838066956173289,inverse
C2,P+NB,log,6,6,0.1251492468054638,inverse
C2,P+NB,log,6,7,-0.02211050029178594,inverse
C2,P+NB,log,7,0,0.01051055490574954,inverse
C2,P+NB,log,7,1,0.03941280703797727,inverse
C2,P+NB,log,7,2,-0.022495398312489256,inverse
C2,P+NB,log,7,3,0.0029168079624071804,inverse
C2,P+NB,log,7,4,-0.15580259491426884,inverse
C2,P+NB,log,7,5,0.10625189227489723,inverse
C2,P+NB,log,7,6,-0.02211050029178594,inverse
C2,P+NB,log,7,7,0.13080301890813686,inverse
C2,Z+P+NB,identity,0,0,0.4475889814466254,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,1,0.033221550348315414,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,2,-0.06967860738610475,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,3,0.011865980633089851,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,4,0.12493133050378885,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,5,-0.2568247335507273,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,6,0.04832783134876798,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,7,-0.2893115265648377,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,8,0.08504888715466451,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,0,9,1.2421719278929032e-08,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,0,0.033221550348315414,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,1,0.012905338627632889,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,2,-0.015870912997984057,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,3,0.0029175440754350868,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,4,-0.0012430451339506346,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,5,-0.012597104914938108,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,6,0.0027723514951710736,indefinite_pinv_rank_8_of_10
