Dataset,Model,Link,Index,Value,SE,CovarianceStatus
C3,Z+P+NB,log,3,-0.8080238662780392,0.3591458159484931,inverse
C3,Z+P+NB,log,4,-3.798996513043204,0.7798101401861844,inverse
C3,Z+P+NB,log,5,1.9136354513158584,0.3799979940182815,inverse
C3,Z+P+NB,log,6,-0.18843629977876666,0.04682236725938439,inverse
C3,Z+P+NB,log,7,-0.5665457631463525,0.7186835974374554,inverse
C3,Z+P+NB,log,8,0.061291962747454624,0.2580983442983853,inverse
C3,Z+P+NB,log,9,-3.7513504344030966,1.8486830322686962,inverse
C3,ZIP--ZINB,identity,0,-0.368679870975923,1.7621293047070006,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,1,1.2132524952325245,1.080254628206967,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,2,-0.5852061329523767,0.5190289344873807,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,3,0.07047325291106137,0.0629821405495762,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,4,13.475271583620218,0.2061927694196173,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,5,-6.370994602668201,0.40935610114847876,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,6,0.02387261999912526,0.09771531612749937,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,7,0.09005021512107093,0.11932584215238469,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,8,0.10777161325974519,0.02578389047320356,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,9,-1.9704056958437906,4.298844153426655,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,10,0.32952647518844513,0.5260745101907305,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,identity,11,-5.320443500178773,10.148775307526513,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,0,0.4641679813079481,0.14563444061436648,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,1,-3.5517244376834167,1.1005102408751972,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,2,3.1377201296846713,1.139248077326805,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,3,-0.8195597885472415,0.28892495790201844,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,4,1.5557651012793088,1.8547851090851473,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,5,-0.4737629448881401,0.9190482997628908,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,6,-3.2797918291587576,0.9456725610174718,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,7,1.6546260973438123,0.4876742460697985,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,8,-0.1571285445858173,0.061040900134900024,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,9,-25.0,0.08473441432450979,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,10,4.410170584033997,0.4268898959478712,singular_pinv_rank_11_of_12
C3,ZIP--ZINB,log,11,-3.8949875058365446,1.9852612690672793,singular_pinv_rank_11_of_12
H2AX1H60,Poisson,identity,0,1.5696162035717682,0.12341574993278172,inverse
H2AX1H60,Poisson,identity,1,0.6202524926539857,0.0685652125012516,inverse
H2AX1H60,Poisson,log,0,0.49301641370076793,0.05782962640558508,inverse
H2AX1H60,Poisson,log,1,0.25907592894531034,0.026252277048983277,inverse
H2AX1H60,NB,identity,0,1.664098874470924,0.2479438241790182,inverse
H2AX1H60,NB,identity,1,0.5593461721912923,0.14578558487539156,inverse
H2AX1H60,NB,identity,2,0.3542308768911798,0.09415361344582242,inverse
H2AX1H60,NB,log,0,0.5354184458544105,0.11404164161490792,inverse
H2AX1H60,NB,log,1,0.2363361211427007,0.05552844374835222,inverse
H2AX1H60,NB,log,2,0.3466605914953684,0.09448168356564471,inverse
H2AX1H60,ZIP,identity,0,3.697942920341268,0.23391835031016053,inverse
H2AX1H60,ZIP,identity,1,0.3758801761727716,0.11200386246790882,inverse
H2AX1H60,ZIP,identity,2,0.3320934023558117,0.18052444039951468,inverse
H2AX1H60,ZIP,identity,3,-0.43683935959918724,0.09514747216364507,inverse
H2AX1H60,ZIP,log,0,1.3089123947598824,0.05837429906895956,inverse
H2AX1H60,ZIP,log,1,0.0902090381872022,0.02614661611596693,inverse
H2AX1H60,ZIP,log,2,0.33066274210580915,0.18057514303785216,inverse
H2AX1H60,ZIP,log,3,-0.4362015687116476,0.09513520581843737,inverse
H2AX1H60,ZINB,identity,0,3.6400406779636123,0.2713406716957687,inverse
H2AX1H60,ZINB,identity,1,0.37559033052282714,0.13055935102608862,inverse
H2AX1H60,ZINB,identity,2,0.30046356177624284,0.1844427597387596,inverse
H2AX1H60,ZINB,identity,3,-0.43912963853010295,0.09739135239434486,inverse
H2AX1H60,ZINB,identity,4,-2.422415693463155,0.3224794465731874,inverse
H2AX1H60,ZINB,log,0,1.2926826525495372,0.0688243758156775,inverse
H2AX1H60,ZINB,log,1,0.0917224314958578,0.030914510277001334,inverse
H2AX1H60,ZINB,log,2,0.2983458727281315,0.18453368584649155,inverse
H2AX1H60,ZINB,log,3,-0.4380427074009852,0.09735495986828978,inverse
H2AX1H60,ZINB,log,4,-2.427391810478953,0.32362043273040936,inverse
H2AX1H60,P+NB,identity,0,0.1326442082752751,0.128150037988374,inverse
H2AX1H60,P+NB,identity,1,3.463282368979481,0.27087462242636645,inverse
H2AX1H60,P+NB,identity,2,0.7382524625453196,0.14059311004304295,inverse
H2AX1H60,P+NB,identity,3,-0.1652462255625737,0.07334866068935034,inverse
H2AX1H60,P+NB,identity,4,0.2203283140834316,0.1009098676552743,inverse
H2AX1H60,P+NB,identity,5,0.1969054140267165,1.1687034948154915,inverse
H2AX1H60,P+NB,log,0,0.05565097577621138,0.10477056102257622,inverse
H2AX1H60,P+NB,log,1,1.2468659405352884,0.06507732807686362,inverse
H2AX1H60,P+NB,log,2,0.16998738094380517,0.03307088239329525,inverse
H2AX1H60,P+NB,log,3,-6.346423233545201,1.6747118424277854,inverse
H2AX1H60,P+NB,log,4,2.209570382293829,0.5806957710702381,inverse
H2AX1H60,P+NB,log,5,0.6626430402053076,0.3661615206986125,inverse
H2AX1H60,Z+P+NB,identity,0,0.7037180826760768,0.26244787693113,indefinite_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,identity,1,3.0147162814972823,0.5549396683579372,indefinite_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,identity,2,0.9683184232505456,0.23512262268207396,indefinite_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,identity,3,5.690855937317815,0.8595201987072207,indefinite_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,identity,4,-1.4698882019166908,0.3387718170027667,indefinite_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,identity,5,0.4705916008357992,0.19780596189718205,indefinite_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,identity,6,-0.5746347763480109,0.12286642802353522,indefinite_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,identity,7,-19.984346929608293,2.7272064849143273e-06,indefinite_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,log,0,0.6957109975973782,0.24907007801149153,singular_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,log,1,1.100004201443951,0.11798151679120937,singular_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,log,2,0.23087939483893008,0.04830322472599938,singular_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,log,3,2.1225326174180443,0.1812677176455058,singular_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,log,4,-0.6433852682847852,0.14846404533817564,singular_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,log,5,0.4732613413581263,0.1989389478225784,singular_pinv_rank_7_of_8
