Scenario,Dataset,Rep,Model,Index,Value
D1,Dataset 1,17,ZIP--ZINB,8,-2.803627298702269
D1,Dataset 1,17,ZIP--ZINB,9,0.3822382811105279
D1,Dataset 1,18,ZIP--ZINB,0,0.8181195808595179
D1,Dataset 1,18,ZIP--ZINB,1,2.102278688118297
D1,Dataset 1,18,ZIP--ZINB,2,0.9594796765840308
D1,Dataset 1,18,ZIP--ZINB,3,-2.2050686132406248
D1,Dataset 1,18,ZIP--ZINB,4,1.0903624979549025
D1,Dataset 1,18,ZIP--ZINB,5,3.8908289919616617
D1,Dataset 1,18,ZIP--ZINB,6,3.548912320427777
D1,Dataset 1,18,ZIP--ZINB,7,1.2356013328248123
D1,Dataset 1,18,ZIP--ZINB,8,-2.940088387450368
D1,Dataset 1,18,ZIP--ZINB,9,0.4359282228657404
D1,Dataset 1,16,ZIP--ZINB,0,0.7544774492517562
D1,Dataset 1,16,ZIP--ZINB,1,1.9741172239849163
D1,Dataset 1,16,ZIP--ZINB,2,1.0587951144774128
D1,Dataset 1,16,ZIP--ZINB,3,-2.0812506208403163
D1,Dataset 1,16,ZIP--ZINB,4,1.0047928444480314
D1,Dataset 1,16,ZIP--ZINB,5,3.6493638027405946
D1,Dataset 1,16,ZIP--ZINB,6,3.2889125682871403
D1,Dataset 1,16,ZIP--ZINB,7,0.6952290656461707
D1,Dataset 1,16,ZIP--ZINB,8,-2.979695983237078
D1,Dataset 1,16,ZIP--ZINB,9,0.5281460572364829
D1,Dataset 1,20,ZIP--ZINB,0,0.8567647929958877
D1,Dataset 1,20,ZIP--ZINB,1,2.0474586025098502
D1,Dataset 1,20,ZIP--ZINB,2,0.9488282241032536
D1,Dataset 1,20,ZIP--ZINB,3,-2.0840869805591216
D1,Dataset 1,20,ZIP--ZINB,4,1.0297422415865092
D1,Dataset 1,20,ZIP--ZINB,5,4.503732500395848
D1,Dataset 1,20,ZIP--ZINB,6,3.3486138761621373
D1,Dataset 1,20,ZIP--ZINB,7,1.2560445009854295
D1,Dataset 1,20,ZIP--ZINB,8,-2.7976615173561323
D1,Dataset 1,20,ZIP--ZINB,9,0.3482775230770993
D1,Dataset 1,21,ZIP--ZINB,0,0.8523473001442852
D1,Dataset 1,21,ZIP--ZINB,1,1.983314237357012
D1,Dataset 1,21,ZIP--ZINB,2,1.0438225401666268
D1,Dataset 1,21,ZIP--ZINB,3,-2.0150241533754945
D1,Dataset 1,21,ZIP--ZINB,4,0.9916751885835572
