SourceFolder,Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C2_log_NB,C2,log,,ZIP--ZINB,3.1412978172302246,True,118,-2838.557049098048,5701.114098196095,5780.680360716774,0.046801728156737,not_computed
C2_log_P_plus_NB,C2,log,,Poisson,0.0396974086761474,True,9,-3528.6965528059327,7063.393105611865,7083.284671242035,0.0038090123067604,not_computed
C2_log_P_plus_NB,C2,log,,NB,0.1303093433380127,True,19,-2940.5233778138727,5889.046755627745,5915.568843134638,0.0002458548153754,not_computed
C2_log_P_plus_NB,C2,log,,ZIP,0.1978683471679687,True,18,-2843.691105360311,5697.382210720622,5730.534820104239,0.0065533183826573,not_computed
C2_log_P_plus_NB,C2,log,,ZINB,0.5889546871185303,True,38,-2843.690195973953,5699.380391947906,5739.163523208245,0.0018641602715945,not_computed
C2_log_P_plus_NB,C2,log,,P+NB,0.9873440265655518,True,74,-2846.2199269392604,5708.439853878521,5761.484028892307,0.00081041960334,not_computed
C2_log_P_plus_NB,C2,log,,Z+P+NB,2.1502795219421387,True,58,-2839.722571297944,5699.445142595888,5765.75036136312,0.0290072130110274,not_computed
C2_log_P_plus_NB,C2,log,,ZIP--ZINB,3.13284683227539,True,118,-2838.557049098048,5701.114098196095,5780.680360716774,0.046801728156737,not_computed
C2_log_Poisson,C2,log,,Poisson,0.0583589076995849,True,9,-3528.6965528059327,7063.393105611865,7083.284671242035,0.0038090123067604,not_computed
C2_log_Poisson,C2,log,,NB,0.131577730178833,True,19,-2940.5233778138727,5889.046755627745,5915.568843134638,0.0002458548153754,not_computed
C2_log_Poisson,C2,log,,ZIP,0.1982917785644531,True,18,-2843.691105360311,5697.382210720622,5730.534820104239,0.0065533183826573,not_computed
C2_log_Poisson,C2,log,,ZINB,0.5911800861358643,True,38,-2843.690195973953,5699.380391947906,5739.163523208245,0.0018641602715945,not_computed
C2_log_Poisson,C2,log,,P+NB,0.993750810623169,True,74,-2846.2199269392604,5708.439853878521,5761.484028892307,0.00081041960334,not_computed
C2_log_Poisson,C2,log,,Z+P+NB,2.162674903869629,True,58,-2839.722571297944,5699.445142595888,5765.75036136312,0.0290072130110274,not_computed
C2_log_Poisson,C2,log,,ZIP--ZINB,3.148564338684082,True,118,-2838.557049098048,5701.114098196095,5780.680360716774,0.046801728156737,not_computed
C2_log_ZINB,C2,log,,Poisson,0.039797306060791,True,9,-3528.6965528059327,7063.393105611865,7083.284671242035,0.0038090123067604,not_computed
C2_log_ZINB,C2,log,,NB,0.1309127807617187,True,19,-2940.5233778138727,5889.046755627745,5915.568843134638,0.0002458548153754,not_computed
C2_log_ZINB,C2,log,,ZIP,0.1984801292419433,True,18,-2843.691105360311,5697.382210720622,5730.534820104239,0.0065533183826573,not_computed
C2_log_ZINB,C2,log,,ZINB,0.5926711559295654,True,38,-2843.690195973953,5699.380391947906,5739.163523208245,0.0018641602715945,not_computed
C2_log_ZINB,C2,log,,P+NB,0.9984009265899658,True,74,-2846.2199269392604,5708.439853878521,5761.484028892307,0.00081041960334,not_computed
C2_log_ZINB,C2,log,,Z+P+NB,2.1619648933410645,True,58,-2839.722571297944,5699.445142595888,5765.75036136312,0.0290072130110274,not_computed
C2_log_ZINB,C2,log,,ZIP--ZINB,3.156722068786621,True,118,-2838.557049098048,5701.114098196095,5780.680360716774,0.046801728156737,not_computed
C2_log_ZIP,C2,log,,Poisson,0.0395174026489257,True,9,-3528.6965528059327,7063.393105611865,7083.284671242035,0.0038090123067604,not_computed
C2_log_ZIP,C2,log,,NB,0.1310038566589355,True,19,-2940.5233778138727,5889.046755627745,5915.568843134638,0.0002458548153754,not_computed
C2_log_ZIP,C2,log,,ZIP,0.1991345882415771,True,18,-2843.691105360311,5697.382210720622,5730.534820104239,0.0065533183826573,not_computed
C2_log_ZIP,C2,log,,ZINB,0.5926413536071777,True,38,-2843.690195973953,5699.380391947906,5739.163523208245,0.0018641602715945,not_computed
C2_log_ZIP,C2,log,,P+NB,0.9912874698638916,True,74,-2846.2199269392604,5708.439853878521,5761.484028892307,0.00081041960334,not_computed
C2_log_ZIP,C2,log,,Z+P+NB,2.160527229309082,True,58,-2839.722571297944,5699.445142595888,5765.75036136312,0.0290072130110274,not_computed
C2_log_ZIP,C2,log,,ZIP--ZINB,3.14863395690918,True,118,-2838.557049098048,5701.114098196095,5780.680360716774,0.046801728156737,not_computed
C2_log_Z_plus_P_plus_NB,C2,log,,Poisson,0.0598132610321044,True,9,-3528.6965528059327,7063.393105611865,7083.284671242035,0.0038090123067604,not_computed
C2_log_Z_plus_P_plus_NB,C2,log,,NB,0.1311490535736084,True,19,-2940.5233778138727,5889.046755627745,5915.568843134638,0.0002458548153754,not_computed
C2_log_Z_plus_P_plus_NB,C2,log,,ZIP,0.1997585296630859,True,18,-2843.691105360311,5697.382210720622,5730.534820104239,0.0065533183826573,not_computed
C2_log_Z_plus_P_plus_NB,C2,log,,ZINB,0.5952441692352295,True,38,-2843.690195973953,5699.380391947906,5739.163523208245,0.0018641602715945,not_computed
C2_log_Z_plus_P_plus_NB,C2,log,,P+NB,1.0097277164459229,True,74,-2846.2199269392604,5708.439853878521,5761.484028892307,0.00081041960334,not_computed
C2_log_Z_plus_P_plus_NB,C2,log,,Z+P+NB,2.1959056854248047,True,58,-2839.722571297944,5699.445142595888,5765.75036136312,0.0290072130110274,not_computed
C2_log_Z_plus_P_plus_NB,C2,log,,ZIP--ZINB,3.178225040435791,True,118,-2838.557049098048,5701.114098196095,5780.680360716774,0.046801728156737,not_computed
C3_identity_NB,C3,identity,,Poisson,0.0907151699066162,True,20,-3466.635873392149,6939.271746784298,6958.439826244016,0.0008235605049549,not_computed
C3_identity_NB,C3,identity,,NB,0.2907783985137939,True,11,-3152.4296064626533,6312.859212925307,6338.416652204932,0.0026096703101643,not_computed
C3_identity_NB,C3,identity,,ZIP,0.3698999881744385,True,22,-3081.2093677933444,6172.418735586689,6204.365534686221,0.0012091976703629,not_computed
C3_identity_NB,C3,identity,,ZINB,0.7899363040924072,True,32,-3080.6803349857278,6173.360669971455,6211.696828890893,0.0009653133892979,not_computed
C3_identity_NB,C3,identity,,P+NB,0.6034581661224365,True,39,-3079.9558058881357,6175.911611776271,6227.026490335521,0.0162388478386219,not_computed
C3_identity_NB,C3,identity,,Z+P+NB,1.1730828285217283,True,99,-3079.3201117551143,6178.640223510229,6242.533821709292,0.0017074504079346,not_computed
C3_identity_NB,C3,identity,,ZIP--ZINB,2.150812864303589,True,97,-3078.3765748799897,6180.753149759979,6257.425467598856,155.56836872854174,not_computed
C3_identity_P_plus_NB,C3,identity,,Poisson,0.0892255306243896,True,20,-3466.635873392149,6939.271746784298,6958.439826244016,0.0008235605049549,not_computed
C3_identity_P_plus_NB,C3,identity,,NB,0.2876181602478027,True,11,-3152.4296064626533,6312.859212925307,6338.416652204932,0.0026096703101643,not_computed
C3_identity_P_plus_NB,C3,identity,,ZIP,0.3678879737854004,True,22,-3081.2093677933444,6172.418735586689,6204.365534686221,0.0012091976703629,not_computed
C3_identity_P_plus_NB,C3,identity,,ZINB,0.7850408554077148,True,32,-3080.6803349857278,6173.360669971455,6211.696828890893,0.0009653133892979,not_computed
C3_identity_P_plus_NB,C3,identity,,P+NB,0.5942285060882568,True,39,-3079.9558058881357,6175.911611776271,6227.026490335521,0.0162388478386219,not_computed
C3_identity_P_plus_NB,C3,identity,,Z+P+NB,1.1567232608795166,True,99,-3079.3201117551143,6178.640223510229,6242.533821709292,0.0017074504079346,not_computed
C3_identity_P_plus_NB,C3,identity,,ZIP--ZINB,2.123638153076172,True,97,-3078.3765748799897,6180.753149759979,6257.425467598856,155.56836872854174,not_computed
C3_identity_Poisson,C3,identity,,Poisson,0.1074223518371582,True,20,-3466.635873392149,6939.271746784298,6958.439826244016,0.0008235605049549,not_computed
C3_identity_Poisson,C3,identity,,NB,0.2909574508666992,True,11,-3152.4296064626533,6312.859212925307,6338.416652204932,0.0026096703101643,not_computed
C3_identity_Poisson,C3,identity,,ZIP,0.37225341796875,True,22,-3081.2093677933444,6172.418735586689,6204.365534686221,0.0012091976703629,not_computed
C3_identity_Poisson,C3,identity,,ZINB,0.7980475425720215,True,32,-3080.6803349857278,6173.360669971455,6211.696828890893,0.0009653133892979,not_computed
C3_identity_Poisson,C3,identity,,P+NB,0.6013064384460449,True,39,-3079.9558058881357,6175.911611776271,6227.026490335521,0.0162388478386219,not_computed
C3_identity_Poisson,C3,identity,,Z+P+NB,1.1734883785247805,True,99,-3079.3201117551143,6178.640223510229,6242.533821709292,0.0017074504079346,not_computed
C3_identity_Poisson,C3,identity,,ZIP--ZINB,2.1576547622680664,True,97,-3078.3765748799897,6180.753149759979,6257.425467598856,155.56836872854174,not_computed
C3_identity_ZINB,C3,identity,,Poisson,0.0898158550262451,True,20,-3466.635873392149,6939.271746784298,6958.439826244016,0.0008235605049549,not_computed
C3_identity_ZINB,C3,identity,,NB,0.2917878627777099,True,11,-3152.4296064626533,6312.859212925307,6338.416652204932,0.0026096703101643,not_computed
C3_identity_ZINB,C3,identity,,ZIP,0.3668243885040283,True,22,-3081.2093677933444,6172.418735586689,6204.365534686221,0.0012091976703629,not_computed
C3_identity_ZINB,C3,identity,,ZINB,0.789844274520874,True,32,-3080.6803349857278,6173.360669971455,6211.696828890893,0.0009653133892979,not_computed
C3_identity_ZINB,C3,identity,,P+NB,0.5973589420318604,True,39,-3079.9558058881357,6175.911611776271,6227.026490335521,0.0162388478386219,not_computed
C3_identity_ZINB,C3,identity,,Z+P+NB,1.1642570495605469,True,99,-3079.3201117551143,6178.640223510229,6242.533821709292,0.0017074504079346,not_computed
C3_identity_ZINB,C3,identity,,ZIP--ZINB,2.1348817348480225,True,97,-3078.3765748799897,6180.753149759979,6257.425467598856,155.56836872854174,not_computed
C3_identity_ZIP,C3,identity,,Poisson,0.0911450386047363,True,20,-3466.635873392149,6939.271746784298,6958.439826244016,0.0008235605049549,not_computed
C3_identity_ZIP,C3,identity,,NB,0.2925412654876709,True,11,-3152.4296064626533,6312.859212925307,6338.416652204932,0.0026096703101643,not_computed
C3_identity_ZIP,C3,identity,,ZIP,0.3694441318511963,True,22,-3081.2093677933444,6172.418735586689,6204.365534686221,0.0012091976703629,not_computed
C3_identity_ZIP,C3,identity,,ZINB,0.7902257442474365,True,32,-3080.6803349857278,6173.360669971455,6211.696828890893,0.0009653133892979,not_computed
C3_identity_ZIP,C3,identity,,P+NB,0.6066627502441406,True,39,-3079.9558058881357,6175.911611776271,6227.026490335521,0.0162388478386219,not_computed
C3_identity_ZIP,C3,identity,,Z+P+NB,1.180168390274048,True,99,-3079.3201117551143,6178.640223510229,6242.533821709292,0.0017074504079346,not_computed
C3_identity_ZIP,C3,identity,,ZIP--ZINB,2.1478915214538574,True,97,-3078.3765748799897,6180.753149759979,6257.425467598856,155.56836872854174,not_computed
C3_identity_Z_plus_P_plus_NB,C3,identity,,Poisson,0.0906069278717041,True,20,-3466.635873392149,6939.271746784298,6958.439826244016,0.0008235605049549,not_computed
C3_identity_Z_plus_P_plus_NB,C3,identity,,NB,0.2925505638122558,True,11,-3152.4296064626533,6312.859212925307,6338.416652204932,0.0026096703101643,not_computed
C3_identity_Z_plus_P_plus_NB,C3,identity,,ZIP,0.371248722076416,True,22,-3081.2093677933444,6172.418735586689,6204.365534686221,0.0012091976703629,not_computed
C3_identity_Z_plus_P_plus_NB,C3,identity,,ZINB,0.791278600692749,True,32,-3080.6803349857278,6173.360669971455,6211.696828890893,0.0009653133892979,not_computed
C3_identity_Z_plus_P_plus_NB,C3,identity,,P+NB,0.6073973178863525,True,39,-3079.9558058881357,6175.911611776271,6227.026490335521,0.0162388478386219,not_computed
C3_identity_Z_plus_P_plus_NB,C3,identity,,Z+P+NB,1.175926923751831,True,99,-3079.3201117551143,6178.640223510229,6242.533821709292,0.0017074504079346,not_computed
C3_identity_Z_plus_P_plus_NB,C3,identity,,ZIP--ZINB,2.1482479572296143,True,97,-3078.3765748799897,6180.753149759979,6257.425467598856,155.56836872854174,not_computed
C3_log_NB,C3,log,,Poisson,0.0285077095031738,True,10,-3468.148246215904,6942.296492431808,6961.464571891526,0.0001975996462135,not_computed
C3_log_NB,C3,log,,NB,0.1100845336914062,True,18,-3153.5422421105554,6315.084484221111,6340.641923500736,0.0021416996047491,not_computed
C3_log_NB,C3,log,,ZIP,0.127018928527832,True,23,-3081.331619577812,6172.663239155623,6204.610038255155,0.0004492188997176,not_computed
C3_log_NB,C3,log,,ZINB,0.309253454208374,True,22,-3080.9386209822856,6173.877241964571,6212.213400884009,0.0001100444358055,not_computed
C3_log_NB,C3,log,,P+NB,0.8112363815307617,True,51,-3077.951773504374,6171.903547008748,6223.018425567999,9.055053015316616e-05,not_computed
C3_log_NB,C3,log,,Z+P+NB,1.7058937549591064,True,51,-3077.4611512334286,6174.922302466857,6238.815900665921,0.0092831269260926,not_computed
C3_log_NB,C3,log,,ZIP--ZINB,3.676744222640991,True,223,-3077.2031080918023,6178.406216183605,6255.078534022481,0.0170697738854244,not_computed
C3_log_P_plus_NB,C3,log,,Poisson,0.0292251110076904,True,10,-3468.148246215904,6942.296492431808,6961.464571891526,0.0001975996462135,not_computed
C3_log_P_plus_NB,C3,log,,NB,0.1097238063812255,True,18,-3153.5422421105554,6315.084484221111,6340.641923500736,0.0021416996047491,not_computed
C3_log_P_plus_NB,C3,log,,ZIP,0.1282703876495361,True,23,-3081.331619577812,6172.663239155623,6204.610038255155,0.0004492188997176,not_computed
C3_log_P_plus_NB,C3,log,,ZINB,0.3103632926940918,True,22,-3080.9386209822856,6173.877241964571,6212.213400884009,0.0001100444358055,not_computed
C3_log_P_plus_NB,C3,log,,P+NB,0.808793306350708,True,51,-3077.951773504374,6171.903547008748,6223.018425567999,9.055053015316616e-05,not_computed
C3_log_P_plus_NB,C3,log,,Z+P+NB,1.7058992385864258,True,51,-3077.4611512334286,6174.922302466857,6238.815900665921,0.0092831269260926,not_computed
C3_log_P_plus_NB,C3,log,,ZIP--ZINB,3.6860508918762207,True,223,-3077.2031080918023,6178.406216183605,6255.078534022481,0.0170697738854244,not_computed
C3_log_Poisson,C3,log,,Poisson,0.0285511016845703,True,10,-3468.148246215904,6942.296492431808,6961.464571891526,0.0001975996462135,not_computed
C3_log_Poisson,C3,log,,NB,0.1098039150238037,True,18,-3153.5422421105554,6315.084484221111,6340.641923500736,0.0021416996047491,not_computed
C3_log_Poisson,C3,log,,ZIP,0.126904010772705,True,23,-3081.331619577812,6172.663239155623,6204.610038255155,0.0004492188997176,not_computed
C3_log_Poisson,C3,log,,ZINB,0.3093116283416748,True,22,-3080.9386209822856,6173.877241964571,6212.213400884009,0.0001100444358055,not_computed
C3_log_Poisson,C3,log,,P+NB,0.808610200881958,True,51,-3077.951773504374,6171.903547008748,6223.018425567999,9.055053015316616e-05,not_computed
C3_log_Poisson,C3,log,,Z+P+NB,1.7006804943084717,True,51,-3077.4611512334286,6174.922302466857,6238.815900665921,0.0092831269260926,not_computed
C3_log_Poisson,C3,log,,ZIP--ZINB,3.6748878955841056,True,223,-3077.2031080918023,6178.406216183605,6255.078534022481,0.0170697738854244,not_computed
C3_log_ZINB,C3,log,,Poisson,0.028764009475708,True,10,-3468.148246215904,6942.296492431808,6961.464571891526,0.0001975996462135,not_computed
C3_log_ZINB,C3,log,,NB,0.1097166538238525,True,18,-3153.5422421105554,6315.084484221111,6340.641923500736,0.0021416996047491,not_computed
C3_log_ZINB,C3,log,,ZIP,0.1266093254089355,True,23,-3081.331619577812,6172.663239155623,6204.610038255155,0.0004492188997176,not_computed
C3_log_ZINB,C3,log,,ZINB,0.3088011741638183,True,22,-3080.9386209822856,6173.877241964571,6212.213400884009,0.0001100444358055,not_computed
C3_log_ZINB,C3,log,,P+NB,0.8056001663208008,True,51,-3077.951773504374,6171.903547008748,6223.018425567999,9.055053015316616e-05,not_computed
C3_log_ZINB,C3,log,,Z+P+NB,1.6990251541137695,True,51,-3077.4611512334286,6174.922302466857,6238.815900665921,0.0092831269260926,not_computed
C3_log_ZINB,C3,log,,ZIP--ZINB,3.674000024795532,True,223,-3077.2031080918023,6178.406216183605,6255.078534022481,0.0170697738854244,not_computed
C3_log_ZIP,C3,log,,Poisson,0.0290794372558593,True,10,-3468.148246215904,6942.296492431808,6961.464571891526,0.0001975996462135,not_computed
C3_log_ZIP,C3,log,,NB,0.1100656986236572,True,18,-3153.5422421105554,6315.084484221111,6340.641923500736,0.0021416996047491,not_computed
C3_log_ZIP,C3,log,,ZIP,0.127037763595581,True,23,-3081.331619577812,6172.663239155623,6204.610038255155,0.0004492188997176,not_computed
